Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under

Josh Green,2.5,109,-141,,,,15.5,-137,106,3.5,-132,102,1.5,-120,-108

Luka Doncic,9.5,-114,-114,,,,52.5,-130,100,9.5,-114,-114,3.5,-137,106

Shai Gilgeous-Alexander,6.5,-139,107,,,,44.5,-116,-111,5.5,-111,-116,1.5,161,-213

Josh Giddey,4.5,-102,-127,,,,23.5,-103,-125,6.5,-130,100,0.5,-189,144

Chet Holmgren,2.5,-128,-101,,,,27.5,-120,-108,8.5,109,-141,1.5,-141,109

Jalen Williams,4.5,-139,107,,,,28.5,-123,-104,4.5,107,-139,1.5,-110,-118

Kyrie Irving,5.5,-109,-119,,,,35.5,-122,-106,5.5,122,-159,2.5,-141,109

Luguentz Dort,,,,,,,16.5,-103,-125,3.5,-139,107,1.5,-141,108

Derrick Jones Jr.,,,,,,,13.5,-130,100,3.5,-143,110,0.5,-196,149

Paul George,2.5,-172,133,,,,29.5,-116,-111,4.5,-103,-125,3.5,134,-175

Kawhi Leonard,4.5,120,-156,,,,35.5,-118,-110,5.5,-149,115,2.5,112,-145

Jaden Ivey,4.5,100,-130,,,,30.5,-123,-104,3.5,-164,126,2.5,112,-145

James Harden,8.5,-145,112,,,,32.5,-111,-116,5.5,117,-152,2.5,-145,111

Jalen Duren,2.5,136,-179,,,,30.5,-119,-109,11.5,-135,105,,,

Cade Cunningham,7.5,112,-145,,,,34.5,-118,-110,3.5,-147,113,1.5,-109,-119

Ivica Zubac,,,,,,,19.5,-143,110,8.5,110,-143,,,

Terance Mann,,,,,,,11.5,-130,100,2.5,-141,108,0.5,-152,117

Nicolas Claxton,1.5,-169,130,,,,24.5,-125,-103,9.5,-143,110,,,

Tre Jones,6.5,-141,109,,,,22.5,-109,-119,3.5,103,-133,0.5,-130,100

Ben Simmons,5.5,-114,-114,,,,17.5,-116,-111,6.5,110,-143,,,

Cameron Thomas,2.5,-172,132,,,,29.5,-127,-102,3.5,107,-139,1.5,-182,138

Devin Vassell,4.5,124,-161,,,,30.5,-109,-119,4.5,118,-154,2.5,-102,-127

Jeremy Sochan,2.5,-172,132,,,,20.5,-119,-109,6.5,-105,-123,0.5,-182,139

Mikal Bridges,3.5,-122,-106,,,,31.5,-123,-104,4.5,109,-141,3.5,-105,-123

Victor Wembanyama,3.5,-105,-123,,,,36.5,100,-130,10.5,-114,-114,1.5,-108,-120

Dorian Finney-Smith,,,,,,,16.5,100,-130,4.5,-112,-115,1.5,-189,143

Julian Champagnie,,,,,,,11.5,110,-143,3.5,115,-149,1.5,130,-169

Miles Bridges,4.5,112,-145,,,,38.5,100,-130,7.5,-115,-112,2.5,-152,116

Jaren Jackson Jr.,2.5,-143,110,,,,35.5,-120,-108,5.5,-137,106,1.5,-175,134

John Konchar,2.5,-149,115,,,,14.5,-123,-105,5.5,-125,-103,0.5,-123,-105

Santi Aldama,2.5,110,-143,,,,20.5,-118,-110,6.5,102,-132,1.5,-145,112

Vince Williams,3.5,-141,108,,,,26.5,100,-130,6.5,-143,110,2.5,134,-175

Brandon Miller,3.5,136,-179,,,,31.5,110,-143,4.5,-139,107,2.5,-130,100

Nick Richards,,,,,,,23.5,-114,-114,10.5,128,-167,,,

Markelle Fultz,3.5,-143,110,,,,16.5,-109,-119,2.5,-139,107,,,

Nikola Vucevic,2.5,-175,135,,,,31.5,-119,-109,10.5,100,-130,1.5,130,-169

Coby White,5.5,109,-141,,,,31.5,-132,102,4.5,-112,-115,3.5,122,-159

DeMar DeRozan,4.5,-130,101,,,,32.5,-114,-114,4.5,122,-159,0.5,-192,145

Alex Caruso,3.5,104,-135,,,,15.5,-125,-103,3.5,-116,-111,1.5,112,-145

Franz Wagner,3.5,-147,114,,,,29.5,-111,-116,4.5,-156,120,1.5,-156,121

Jalen Suggs,2.5,136,-179,,,,17.5,-102,-127,3.5,104,-135,1.5,-172,131

Paolo Banchero,5.5,-130,100,,,,36.5,-109,-119,7.5,128,-167,1.5,-135,104

Ayo Dosunmu,3.5,134,-175,,,,16.5,-119,-109,2.5,-156,121,1.5,174,-233

Wendell Carter Jr.,,,,,,,21.5,100,-130,7.5,110,-143,1.5,136,-179

Tyrese Maxey,6.5,-128,-101,,,,41.5,-118,-110,3.5,-135,104,2.5,-175,134

Kyle Kuzma,4.5,117,-152,,,,34.5,-130,100,7.5,-130,100,2.5,-103,-125

Deni Avdija,4.5,122,-159,,,,28.5,100,-130,8.5,100,-130,0.5,-227,169

Tyus Jones,7.5,-141,109,,,,23.5,-114,-114,3.5,110,-143,1.5,117,-152

Jordan Poole,3.5,-106,-122,,,,22.5,-120,-108,2.5,-109,-119,1.5,-145,111

Alperen Sengun,5.5,120,-156,,,,38.5,-115,-112,9.5,-123,-105,0.5,159,-208

Jalen Green,3.5,-103,-125,,,,28.5,-111,-116,4.5,106,-137,1.5,-167,127

Dillon Brooks,,,,,,,19.5,-125,-103,3.5,120,-156,1.5,-141,109

Jabari Smith,,,,,,,23.5,-109,-119,8.5,111,-145,1.5,100,-130

Jarrett Allen,2.5,124,-161,,,,28.5,-105,-123,10.5,-125,-103,,,

Jakob Poeltl,2.5,110,-143,,,,23.5,-115,-112,9.5,-120,-108,,,

Darius Garland,5.5,-108,-120,,,,22.5,-123,-105,1.5,-196,150,1.5,-110,-118

RJ Barrett,3.5,-164,125,,,,30.5,-130,100,5.5,-123,-105,1.5,109,-141

Evan Mobley,2.5,133,-172,,,,23.5,-130,100,8.5,100,-130,0.5,309,-455

Donovan Mitchell,5.5,-137,106,,,,38.5,-115,-112,4.5,-123,-104,3.5,-109,-119

Max Strus,2.5,-105,-123,,,,14.5,-130,100,3.5,-137,106,1.5,-120,-108

Immanuel Quickley,6.5,128,-167,,,,26.5,-114,-114,3.5,122,-159,2.5,110,-143

Scottie Barnes,5.5,-145,112,,,,33.5,-106,-122,6.5,-145,111,1.5,112,-145

Gary Trent Jr.,,,,,,,15.5,-110,-118,2.5,122,-159,2.5,144,-189

Andrew Nembhard,4.5,-123,-105,,,,16.5,-119,-109,2.5,128,-167,0.5,-196,148

Pascal Siakam,3.5,-143,110,,,,29.5,-143,110,6.5,-109,-119,1.5,182,-244

Jalen Brunson,7.5,118,-154,,,,41.5,-114,-114,3.5,-130,101,2.5,128,-167

Tyrese Haliburton,9.5,100,-130,,,,30.5,-114,-114,3.5,106,-137,2.5,-118,-110

