Name,Blocks_Line,Points_Line,FT_Line,Assists_Line,Personal_Line,Steals_Line,ReboundsAssists_Line,Rebounds_Line,Threes_Line,Fantasy_Line,PointsRebounds_Line,Turnovers_Line,BlocksSteals_Line,PointsReboundsAssists_Line,PointsAssists_Line
DeMar DeRozan,,,,5.0,,1.5,9.0,4.0,,,26.5,2.5,,31.5,27.5
Alex Caruso,,,,,,1.5,7.0,3.5,,,,,,15.5,
Jalen Suggs,0.5,,,,,,5.5,3.5,,,,1.5,,17.5,
Coby White,,,,5.0,,0.5,10.5,4.5,3.0,,26.5,3.0,,31.5,27.5
Nikola Vucevic,1.5,,,,,,13.5,10.0,,,28.5,,,31.5,21.5
Paolo Banchero,0.5,23.0,,,,,12.5,7.0,1.5,40.15,30.5,,,35.5,28.5
Franz Wagner,0.5,,,,,,9.0,5.0,,,25.5,,,29.5,24.5
Wendell Carter Jr.,,11.5,,,,0.5,,7.5,1.5,,,,,20.5,
Markelle Fultz,0.5,,,,,,6.5,,,,,,1.5,16.5,
Andre Drummond,,9.5,,0.5,,,9.5,9.0,,,18.5,,,19.5,10.5
Cole Anthony,,,,,,,,2.0,,,,,,,
Ayo Dosunmu,0.5,,,,,,6.0,,1.5,,,1.5,1.5,16.5,
Torrey Craig,,,,,,,,3.5,,,,,,10.5,
Jonathan Isaac,,,,,,,,4.0,0.5,,,,,11.5,
Moritz Wagner,,,,,,,,3.5,0.5,,,,,13.5,
Gary Harris,,,,,,,,,,,,,,,
Joe Ingles,,,,,,,,,1.5,,,,,,
Tyrese Maxey,,,,6.5,,,10.5,,3.5,46.55,34.5,,2.0,41.5,37.5
Tobias Harris,,20.5,,4.5,,1.5,11.5,7.0,1.5,40.75,28.5,1.5,2.0,33.5,25.5
Kyle Kuzma,,20.5,,4.0,,,11.5,7.5,,37.55,28.5,,,32.5,25.5
Jordan Poole,,,,3.5,,,6.0,,1.5,,17.5,,,21.5,18.5
Tyus Jones,,12.5,,7.5,,,11.0,,,,15.5,,,23.5,20.5
Buddy Hield,,,,3.5,,,8.5,5.0,,,19.5,,1.5,22.5,17.5
Deni Avdija,,13.5,,4.0,,,11.5,7.0,,,20.5,,,,
Kelly Oubre Jr.,,,,,,1.5,,6.0,1.5,,24.5,,,25.5,
Marvin Bagley III,,15.5,,,,,10.0,8.5,,,24.5,,,25.5,16.5
Paul Reed,1.5,,,,,1.5,12.5,10.5,0.5,,21.5,,,23.5,
Corey Kispert,,,,,,,5.5,,,,17.5,,,19.5,15.5
