Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Miles Bridges,3.5,106,-137,,,,36.5,-103,-125,7.5,-116,-111,2.5,-116,-111
LaMelo Ball,8.5,-133,103,,,,43.5,-118,-110,6.5,113,-147,3.5,-120,-108
Brandon Miller,2.5,130,-169,,,,24.5,-123,-105,4.5,112,-145,2.5,-105,-123
Bojan Bogdanovic,2.5,104,-135,,,,25.5,-112,-115,3.5,-112,-115,2.5,-128,-101
Jalen Duren,,,,,,,29.5,-108,-120,12.5,100,-130,,,
Nick Richards,,,,,,,18.5,-118,-110,8.5,-103,-125,,,
Isaiah Stewart,,,,,,,19.5,100,-130,6.5,-108,-120,1.5,-105,-123
Deni Avdija,3.5,100,-130,,,,19.5,-123,-105,5.5,103,-133,0.5,-154,118
Kyle Kuzma,4.5,120,-156,,,,29.5,-110,-118,6.5,113,-147,1.5,-169,129
Tyus Jones,6.5,106,-137,,,,21.5,-105,-123,2.5,-123,-105,1.5,107,-139
Jordan Poole,2.5,-128,-101,,,,20.5,-123,-105,2.5,134,-175,1.5,-182,138
Delon Wright,2.5,-152,117,,,,10.5,-112,-115,2.5,141,-185,0.5,126,-164
Daniel Gafford,,,,,,,17.5,-110,-118,6.5,-110,-118,,,
Corey Kispert,,,,,,,12.5,-103,-125,1.5,-130,100,1.5,-123,-105
Marvin Bagley III,,,,,,,15.5,-106,-122,4.5,-118,-110,,,
Bilal Coulibaly,,,,,,,13.5,-112,-115,4.5,126,-164,0.5,-141,108
Xavier Tillman,3.5,139,-182,,,,20.5,-110,-118,6.5,-141,108,0.5,204,-278
Luke Kennard,4.5,-106,-122,,,,23.5,-109,-119,3.5,-101,-128,3.5,-110,-118
Tyler Herro,3.5,-110,-118,,,,30.5,-110,-118,5.5,-101,-128,3.5,107,-139
Jaren Jackson Jr.,2.5,-147,113,,,,33.5,-119,-109,5.5,-119,-109,2.5,141,-185
Bam Adebayo,4.5,-110,-118,,,,37.5,110,-143,11.5,115,-149,,,
Vince Williams,3.5,-125,-103,,,,24.5,-106,-122,7.5,110,-143,1.5,-182,139
Khris Middleton,5.5,-141,109,,,,25.5,-123,-104,4.5,115,-149,1.5,-159,122
Giannis Antetokounmpo,6.5,-109,-119,,,,52.5,-108,-120,12.5,-110,-118,0.5,106,-137
Jarrett Allen,3.5,120,-156,,,,29.5,-127,-102,10.5,-135,104,,,
Isaac Okoro,1.5,-149,115,,,,14.5,-116,-111,2.5,-161,124,0.5,-192,145
Max Strus,3.5,-112,-115,,,,19.5,-122,-106,3.5,-145,112,2.5,128,-167
Donovan Mitchell,7.5,-119,-109,,,,44.5,-103,-125,4.5,-145,112,3.5,107,-139
Damian Lillard,7.5,122,-159,,,,37.5,-110,-118,4.5,113,-147,3.5,-101,-128
Brook Lopez,,,,,,,20.5,-106,-122,5.5,-145,111,1.5,-119,-109
Dean Wade,,,,,,,11.5,-123,-105,4.5,-114,-114,1.5,-103,-125
Malik Beasley,,,,,,,15.5,100,-130,3.5,-135,105,2.5,-132,102
Bobby Portis Jr.,,,,,,,17.5,-111,-116,6.5,115,-149,0.5,-217,165
Anfernee Simons,4.5,119,-154,,,,26.5,-112,-115,2.5,-141,109,2.5,-156,121
Alperen Sengun,4.5,-130,101,,,,38.5,-114,-114,9.5,-128,-101,0.5,167,-222
Jerami Grant,2.5,100,-130,,,,24.5,-118,-110,3.5,-101,-128,1.5,-156,121
Jalen Green,3.5,132,-172,,,,24.5,-109,-119,3.5,-152,117,1.5,-179,136
Fred VanVleet,8.5,-119,-109,,,,28.5,-118,-110,3.5,112,-145,2.5,-128,-101
Malcolm Brogdon,5.5,-114,-114,,,,26.5,-102,-127,3.5,-123,-105,2.5,140,-185
Jabari Walker,,,,,,,19.5,-112,-115,7.5,-125,-103,0.5,-159,122
Deandre Ayton,,,,,,,19.5,-119,-109,8.5,108,-141,,,
