Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Jaylen Brown,3.5,-145,111,,,,31.5,-114,-114,5.5,-154,118,1.5,-111,-116
Jayson Tatum,5.5,120,-156,,,,42.5,-118,-110,8.5,-130,100,3.5,118,-154
Derrick White,3.5,-156,121,,,,22.5,-114,-114,3.5,-111,-116,2.5,100,-130
Cameron Thomas,2.5,-147,113,,,,29.5,-103,-125,3.5,-106,-122,2.5,113,-147
Ben Simmons,5.5,118,-154,,,,17.5,-119,-109,6.5,-108,-120,,,
Mikal Bridges,3.5,124,-161,,,,30.5,-112,-115,4.5,102,-132,3.5,117,-152
Jrue Holiday,4.5,-145,111,,,,22.5,-118,-110,4.5,-149,115,1.5,-122,-106
Nicolas Claxton,,,,,,,24.5,-116,-111,10.5,-115,-112,,,
Dorian Finney-Smith,,,,,,,12.5,-114,-114,3.5,-143,110,1.5,106,-137
Kristaps Porzingis,,,,,,,28.5,-120,-108,6.5,-145,111,1.5,-108,-120
Shai Gilgeous-Alexander,6.5,-114,-114,,,,43.5,-109,-119,5.5,107,-139,0.5,-233,174
Markelle Fultz,3.5,117,-152,,,,14.5,-111,-116,2.5,-156,120,0.5,347,-526
Josh Giddey,3.5,-137,106,,,,20.5,100,-130,5.5,-110,-118,0.5,-213,161
Chet Holmgren,2.5,117,-152,,,,24.5,-120,-108,7.5,102,-132,1.5,-111,-116
Jalen Williams,4.5,104,-135,,,,27.5,-116,-111,4.5,124,-161,1.5,110,-143
Paolo Banchero,5.5,-167,128,,,,35.5,-115,-112,7.5,109,-141,1.5,-116,-111
Franz Wagner,3.5,-169,130,,,,31.5,-123,-104,5.5,-105,-123,1.5,-189,143
Luguentz Dort,,,,,,,14.5,-109,-119,3.5,110,-143,1.5,-130,100
Wendell Carter Jr.,,,,,,,20.5,-105,-123,7.5,106,-137,1.5,186,-250
Jalen Suggs,,,,,,,16.5,-130,100,3.5,115,-149,1.5,-135,105
Giannis Antetokounmpo,6.5,-111,-116,,,,48.5,-119,-109,11.5,-127,-102,0.5,174,-233
Bam Adebayo,4.5,110,-143,,,,38.5,-103,-125,10.5,-127,-102,,,
Brook Lopez,2.5,134,-175,,,,19.5,-116,-111,5.5,-115,-112,1.5,-147,113
Tyler Herro,5.5,-114,-114,,,,34.5,-108,-120,5.5,112,-145,3.5,115,-149
Caleb Martin,2.5,-130,100,,,,21.5,-103,-125,5.5,113,-147,1.5,124,-161
Jaime Jaquez,2.5,-152,117,,,,20.5,-114,-114,4.5,117,-152,0.5,-192,146
Damian Lillard,6.5,-115,-112,,,,35.5,-114,-114,3.5,-125,-103,2.5,-159,122
Jae Crowder,,,,,,,13.5,-114,-114,4.5,141,-185,1.5,-112,-115
Malik Beasley,,,,,,,16.5,-130,100,3.5,-108,-120,2.5,-152,116
Karl-Anthony Towns,2.5,-137,106,,,,32.5,-125,-103,6.5,-164,126,2.5,-103,-125
Anthony Edwards,5.5,-123,-104,,,,37.5,-114,-114,4.5,-145,111,2.5,-167,128
Jerami Grant,3.5,126,-164,,,,28.5,-125,-103,3.5,-127,-102,1.5,-147,113
Anfernee Simons,5.5,-137,106,,,,31.5,-105,-123,2.5,-143,110,3.5,118,-154
Mike Conley,6.5,-114,-114,,,,18.5,-110,-118,2.5,132,-172,1.5,-161,123
Rudy Gobert,,,,,,,27.5,-119,-109,12.5,-109,-119,,,
Deandre Ayton,,,,,,,24.5,100,-130,8.5,-167,128,,,
Devin Booker,5.5,-135,105,,,,40.5,110,-143,4.5,-116,-111,2.5,104,-135
De'Aaron Fox,4.5,-149,115,,,,32.5,-133,103,3.5,-111,-116,2.5,-103,-125
Domantas Sabonis,8.5,-141,108,,,,42.5,-114,-114,13.5,-109,-119,0.5,-109,-119
Bradley Beal,5.5,117,-152,,,,29.5,-111,-116,4.5,-132,102,1.5,-133,103
Kevin Huerter,2.5,141,-185,,,,15.5,-127,-102,3.5,130,-169,1.5,-164,125
Kevin Durant,5.5,113,-147,,,,38.5,-125,-103,6.5,-141,108,2.5,126,-164
Jusuf Nurkic,3.5,106,-137,,,,26.5,-108,-120,10.5,-120,-108,0.5,239,-333
Grayson Allen,2.5,-141,108,,,,17.5,-110,-118,3.5,-123,-104,1.5,-189,143
Keegan Murray,,,,,,,20.5,-109,-119,4.5,-137,106,1.5,-164,125
Harrison Barnes,,,,,,,16.5,-118,-110,2.5,-125,-103,1.5,-139,107
Trey Lyles,,,,,,,13.5,-106,-122,4.5,-114,-114,1.5,104,-135
D'Angelo Russell,5.5,-114,-114,,,,27.5,-130,100,2.5,-110,-118,3.5,113,-147
LeBron James,7.5,-141,109,,,,39.5,-116,-111,6.5,-110,-118,1.5,-156,120
Austin Reaves,5.5,-145,111,,,,25.5,-123,-105,3.5,126,-164,1.5,-156,120
Anthony Davis Jr.,3.5,-111,-116,,,,39.5,-120,-108,11.5,-109,-119,0.5,122,-159
Cade Cunningham,7.5,-122,-106,,,,34.5,-108,-120,3.5,-143,110,1.5,-109,-119
Jaden Ivey,3.5,-143,110,,,,29.5,-114,-114,3.5,-135,105,2.5,139,-182
Jalen Duren,1.5,-169,130,,,,29.5,-115,-112,11.5,-137,106,,,
