Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Aaron Nesmith,1.5,114,-157,,,,20.5,-115,-119,4.5,-133,-103,2.5,129,-179
Vasilije Micic,4.5,-151,110,,,,17.5,-123,-111,,,,0.5,-184,133
Tyrese Haliburton,10.5,-103,-133,,,,34.5,-106,-129,3.5,-104,-131,2.5,-160,116
Myles Turner,1.5,118,-163,,,,26.5,-111,-123,7.5,-117,-117,1.5,-101,-135
Pascal Siakam,3.5,-142,104,,,,31.5,-123,-111,6.5,-115,-119,1.5,114,-157
Andrew Nembhard,4.5,106,-145,,,,16.5,-111,-123,2.5,110,-151,0.5,-234,165
Tre Mann,5.5,100,-137,,,,19.5,-163,118,3.5,-123,-111,1.5,-111,-123
Miles Bridges,3.5,-151,110,,,,37.5,-103,-133,7.5,106,-145,2.5,118,-163
Cody Martin,3.5,-131,-104,,,,16.5,-121,-113,4.5,112,-154,0.5,-194,139
Nick Richards,0.5,-189,136,,,,21.5,-127,-108,8.5,-142,104,,,
Brandon Miller,2.5,-111,-123,,,,29.5,-113,-121,4.5,-108,-127,2.5,-145,106
Grant Williams,,,,,,,15.5,-123,-111,3.5,-131,-104,1.5,-142,104
Buddy Hield,4.5,120,-166,,,,24.5,-123,-111,4.5,104,-142,3.5,-101,-135
Jarrett Allen,2.5,133,-184,,,,31.5,-103,-133,12.5,110,-151,,,
Evan Mobley,2.5,102,-139,,,,26.5,-145,106,9.5,-119,-115,0.5,146,-204
Darius Garland,5.5,-151,110,,,,25.5,-117,-117,2.5,-104,-131,1.5,-145,106
Max Strus,2.5,-204,146,,,,16.5,-119,-115,3.5,-204,146,1.5,-131,-104
Donovan Mitchell,6.5,-104,-131,,,,37.5,-125,-109,4.5,-151,110,3.5,114,-157
Onyeka Okongwu,1.5,114,-157,,,,23.5,-131,-104,8.5,-123,-111,0.5,-115,-119
Nikola Vucevic,3.5,-131,-104,,,,37.5,106,-145,11.5,100,-137,1.5,-108,-127
Saddiq Bey,1.5,133,-184,,,,21.5,-131,-104,6.5,102,-139,2.5,143,-199
Dejounte Murray,5.5,-154,112,,,,32.5,-151,110,5.5,100,-137,2.5,-117,-117
Jalen Johnson,3.5,104,-142,,,,28.5,-123,-111,9.5,-106,-129,1.5,120,-166
Trae Young,10.5,-142,104,,,,37.5,-133,-103,2.5,-142,104,3.5,112,-154
Alex Caruso,3.5,-131,-104,,,,16.5,-157,114,4.5,120,-166,1.5,110,-151
Coby White,6.5,-117,-117,,,,34.5,-125,-109,4.5,-154,112,3.5,114,-157
DeMar DeRozan,5.5,-111,-123,,,,35.5,-104,-131,4.5,110,-151,0.5,-234,165
