Name,BlocksSteals_Line,Points_Line,Steals_Line,Blocks_Line,Turnovers_Line,Rebounds_Line,PointsReboundsAssists_Line,ReboundsAssists_Line,PointsAssists_Line,PointsRebounds_Line,Assists_Line,Threes_Line
Jayson Tatum,1.5,26.5,,0.5,,8.0,39.5,12.5,31.5,35.5,4.5,3.0
Jimmy Butler,,,,0.5,,5.5,29.5,10.5,24.5,24.5,,
Bam Adebayo,,,,,,10.5,32.5,13.5,21.5,28.5,,
Jaylen Brown,1.5,,1.5,0.5,,6.0,29.5,9.5,23.5,25.5,3.5,
Derrick White,,,,,,3.5,21.5,7.5,17.5,16.5,4.0,
Tyler Herro,,,0.5,,1.5,4.5,27.5,9.0,22.5,22.5,4.0,
Kristaps Porzingis,,18.5,0.5,1.5,1.5,7.0,27.5,,,25.5,,1.5
Jrue Holiday,1.5,,,0.5,1.5,5.0,21.5,9.0,16.5,17.5,4.5,1.5
Al Horford,,,0.5,0.5,,5.5,14.5,8.0,,,,
Terry Rozier,,,,0.5,,,24.5,9.0,20.5,19.5,5.0,
Payton Pritchard,,,0.5,,,2.0,9.5,,,,,
Sam Hauser,,,0.5,,,2.5,8.5,,,,,1.5
Shai Gilgeous-Alexander,2.5,31.5,1.5,,,6.0,45.5,13.0,38.5,37.5,7.0,
De'Aaron Fox,,,,0.5,2.5,3.5,32.5,8.5,29.0,27.5,4.5,2.5
Domantas Sabonis,,19.5,,,3.0,13.5,42.5,22.5,28.5,34.5,8.5,0.5
Chet Holmgren,,16.5,0.5,2.5,1.5,8.5,28.5,11.5,20.5,25.5,,
Jalen Williams,,,,0.5,1.5,4.5,27.5,9.5,23.5,23.5,,1.5
Keegan Murray,,,,,,5.0,20.5,7.0,15.5,18.5,,
Josh Giddey,1.5,,0.5,0.5,1.5,6.0,21.5,10.5,15.5,17.5,4.0,
Harrison Barnes,,,,0.5,,3.0,17.5,,,16.5,,
Luguentz Dort,1.5,,0.5,0.5,,3.5,16.5,,,,,2.0
Malik Monk,1.5,,0.5,0.5,2.0,,25.5,8.5,22.5,20.5,5.0,2.5
Kevin Huerter,,,,,,4.0,18.5,6.5,,15.5,,2.0
Trey Lyles,0.5,,0.5,0.5,,4.5,13.5,5.5,,,,1.5
Davion Mitchell,0.5,,0.5,,,,6.5,,,,,0.5
Tyrese Haliburton,,,1.5,0.5,,3.5,34.5,14.5,30.5,23.5,11.0,
Pascal Siakam,1.5,,,0.5,1.5,6.5,30.5,9.5,24.5,27.5,3.5,
Myles Turner,2.0,16.5,0.5,,,7.5,25.5,8.5,18.5,24.5,,
Miles Bridges,1.5,25.5,,0.5,,7.5,37.5,11.5,29.5,33.5,4.0,2.5
Nick Richards,1.5,11.5,0.5,1.5,,8.5,21.5,9.5,12.5,20.5,,
Aaron Nesmith,,,1.5,0.5,,4.5,20.5,6.0,15.5,18.5,,2.5
Andrew Nembhard,,,,0.5,,,15.5,6.5,,,4.5,
Jayson Tatum,1.5,,12.5,8.0,,31.5,0.5,3.0,26.5,35.5,39.5,4.5
Jimmy Butler,,,10.5,5.5,,24.5,0.5,,,24.5,29.5,
Bam Adebayo,,,13.5,10.5,,21.5,,,,28.5,32.5,
Jaylen Brown,1.5,,9.5,6.0,1.5,23.5,0.5,,,25.5,29.5,3.5
Derrick White,,,7.5,3.5,,17.5,,,,16.5,21.5,4.0
Tyler Herro,,1.5,9.0,4.5,0.5,22.5,,,,22.5,27.5,4.0
Kristaps Porzingis,,1.5,,7.0,0.5,,1.5,1.5,18.5,25.5,27.5,
Jrue Holiday,1.5,1.5,9.0,5.0,,16.5,0.5,1.5,,17.5,21.5,4.5
Al Horford,,,8.0,5.5,0.5,,0.5,,,,14.5,
Terry Rozier,,,9.0,,,20.5,0.5,,,19.5,24.5,5.0
Payton Pritchard,,,,2.0,0.5,,,,,,9.5,
Sam Hauser,,,,2.5,0.5,,,1.5,,,8.5,
Shai Gilgeous-Alexander,2.5,,13.0,6.0,1.5,38.5,,,31.5,37.5,45.5,7.0
De'Aaron Fox,,2.5,8.5,3.5,,29.0,0.5,2.5,,27.5,32.5,4.5
Domantas Sabonis,,3.0,22.5,13.5,,28.5,,0.5,19.5,34.5,42.5,8.5
