Name,Fantasy_Line,Turnovers_Line,Assists_Line,FT_Line,PointsAssists_Line,Points_Line,Steals_Line,BlocksSteals_Line,ReboundsAssists_Line,Threes_Line,PointsReboundsAssists_Line,Blocks_Line,PointsRebounds_Line,Rebounds_Line
Donovan Mitchell,44.95,,6.0,4.5,32.5,,,,11.5,,37.5,,31.5,
Tyrese Maxey,44.75,,6.5,,35.5,,,,9.5,3.0,38.5,,31.5,
Darius Garland,,,6.0,2.5,,,,,8.5,,25.5,,19.5,2.5
Evan Mobley,,,,,17.5,,,,11.5,0.5s,26.5,1.5s,24.5,9.5
Jarrett Allen,39.65,1.5,,,19.5,,,,14.5,,31.5,1.5,,12.0
Buddy Hield,,,4.0,,19.5,,,,8.5,3.5,24.5,,20.5,
Max Strus,,,,,,,0.5,,7.0,1.5,16.0,0.5s,,
Kelly Oubre Jr.,,,1.5,,19.5,,,,6.5,,24.5,,,5.0
Caris LeVert,,,4.0,,15.5,,,,7.5,1.5s,19.5,,,
Paul Reed,,,,,,9.5,,,,0.5s,21.5,,,9.5
Georges Niang,,,,,,,,,,1.5,11.5,,,3.0
Isaac Okoro,,,,,,,,,,,12.5,,,
Tyrese Haliburton,43.95,2.0,10.5,2.5,30.5,,1.5s,,14.5,,34.5,0.5,23.5,3.5
Pascal Siakam,,,3.5,2.5,24.5,20.5,,,10.0,,31.5,0.5s,27.5,6.5
Myles Turner,,,,3.0,18.5,17.5,0.5,2.5s,9.0,1.5,26.5,,,7.5
Miles Bridges,41.45,,4.0,3.5,30.5,25.5,,1.5,11.5,,37.0,0.5,33.5,7.5
Grant Williams,,,,,,,0.5,1.5s,6.0,,15.5,,,
Nick Richards,,1.5s,,,,11.5,0.5s,1.5,10.0,,21.5,1.5s,,9.0
Aaron Nesmith,,,,,15.5,,1.5s,,6.0,2.5s,20.5,0.5,,4.5
Brandon Miller,,,,,24.5,,,1.5,7.0,,29.5,0.5,,4.5
Cody Martin,,2.0,4.0,,,,,,,,16.5,,,
Tre Mann,,2.0,5.5,,16.5,,,,9.0,1.5,20.5,,,3.5
Vasilije Micic,,2.0,5.0,,,,0.5,,,,17.5,0.5s,,
Andrew Nembhard,,1.5s,4.5,,,,1.5s,,7.0,,16.5,0.5s,,
Scottie Barnes,45.05,2.5,6.5,3.5,27.5,20.5,1.5s,2.5,14.0,,35.5,1.5s,28.5,7.5
Victor Wembanyama,46.35,3.5,,4.0,25.5,,,3.5,13.5,,36.5,,33.5,10.5
Devin Vassell,,1.5,4.0,2.5,25.5,,,,8.5,,30.5,0.5s,26.5,
Immanuel Quickley,,,6.0,,24.5,,1.5s,,9.5,2.5,28.5,0.5s,21.5,3.5
RJ Barrett,,,,,25.5,,,,10.0,,31.5,0.5s,27.5,6.0
Keldon Johnson,,,,,14.5,,0.5,1.5s,6.5,1.5,19.5,0.5s,18.5,5.0
Jakob Poeltl,,1.5,,,,,,2.5,12.0,,24.5,1.5,,9.5
Jeremy Sochan,,1.5,,,,,,1.5s,9.5,,20.5,,16.5,6.0
Tre Jones,,1.5,7.0,,19.5,11.5,,1.5,11.0,,23.0,,15.5,
Gary Trent Jr.,,,,,,,,,,2.5s,15.5,0.5s,,
Zach Collins,,,2.0,,11.0,,0.5s,,6.5,,15.0,0.5,13.0,4.0
Bruce Brown,,,,,,,,,,0.5,15.5,0.5s,,3.5
Julian Champagnie,,,,,,,0.5,,,1.5s,10.5,0.5s,,3.0
Kelly Olynyk,,,,,,,,1.5s,9.0,0.5,16.5,0.5s,,5.0
Gradey Dick,,0.5,1.5,,8.5,,,,3.5,,10.5,,8.5,
Blake Wesley,,,3.0,,7.5,,0.5,,5.0,0.5s,9.5,0.5s,6.0,1.5
Trae Young,43.55,,10.5,,34.5,,1.5s,1.5,13.5,3.0,37.5,,27.5,
DeMar DeRozan,,,,,31.5,,,,9.5,,36.5,,30.5,
Jalen Johnson,,,,,19.5,,1.5s,,12.5,,28.5,,25.5,9.0
Coby White,,,6.5,,30.5,23.5,,,11.5,,35.5,,28.5,5.0
Nikola Vucevic,,,,,25.5,,,,,1.5,,,,
Dejounte Murray,38.65,2.0,6.0,2.5,27.5,,,,11.5,2.5,32.5,,26.5,5.0
De'Andre Hunter,,,,,12.5,,,,,1.5,15.5,0.5s,14.5,3.0
Saddiq Bey,,,,,,,,,7.5,2.0,21.5,0.5s,,6.5
Ayo Dosunmu,,,,,16.5,,,,6.0,,19.5,,16.5,
Bogdan Bogdanovic,,,,,16.5,,,1.5s,5.5,2.5,19.5,,,
Onyeka Okongwu,,,,,,13.5,0.5,2.5,10.0,0.5,23.5,,,8.5
Nikola Jokic,57.25,,9.0,5.0,35.5,,1.5s,2.0,20.5,1.5s,47.5,,39.5,12.0
Giannis Antetokounmpo,55.25,3.0,7.0,7.5,37.5,,1.5s,,18.5,,49.5,0.5,42.5,11.5
Damian Lillard,40.45,2.5,6.5,7.0,32.5,,,,10.5,3.5s,35.5,0.5s,29.5,3.5
Jamal Murray,39.65,2.5s,7.0,3.0,30.5,23.5,,1.5s,11.5,2.5,34.5,0.5s,27.0,4.0
Aaron Gordon,,,,2.5,15.5,,0.5,1.5s,8.5,,21.5,0.5,18.5,5.5
Brook Lopez,,,,,,,0.5,,,1.5,19.0,2.0,,5.0
Michael Porter Jr.,,,,,15.5,,0.5,,7.5,,22.5,0.5s,,6.5
Bobby Portis,,,,,,12.5,,1.5s,8.0,1.5s,20.5,0.5s,19.5,7.0
Kentavious Caldwell-Pope,,,,,,,,1.5s,,,13.5,0.5s,,2.5
Pat Connaughton,,,,,,,0.5s,,,,,,,
Jae Crowder,,,,,,,,1.5s,6.5,1.5,15.5,0.5s,,
Malik Beasley,,,,,,,,,,2.5,15.5,,,
Jalen Brunson,45.35,2.5,6.5,,37.5,,,1.5s,10.0,,40.5,0.5s,34.5,3.5
Alperen Sengun,41.35,,5.0,,26.5,,1.5s,,13.5,0.5s,35.5,0.5,30.5,8.5
