Name,PointsRebounds_Line,Turnovers_Line,Rebounds_Line,Assists_Line,ReboundsAssists_Line,Blocks_Line,BlocksSteals_Line,Threes_Line,PointsReboundsAssists_Line,PointsAssists_Line,Points_Line,Steals_Line
Jalen Brunson,33.5,3.0,3.5,6.5,10.5,0.5s,1.5s,2.5s,40.5,36.5,,
Jalen Suggs,15.5,,3.5,,5.5,0.5s,1.5,2.5s,18.5,,,1.5s
Paolo Banchero,26.5,2.5,6.5,6.5,13.0,,1.5,1.5s,33.5,26.5,20.5,1.5s
Franz Wagner,26.5,2.5s,5.0,4.0,9.5,0.5s,,,30.5,25.5,,
Wendell Carter Jr.,19.5,1.5s,7.0,,8.5,,1.5s,1.5s,20.5,,12.5,0.5
Donte DiVincenzo,25.5,,4.0,,7.5,0.5s,2.0,4.5,28.5,24.5,,1.5
Isaiah Hartenstein,18.5,1.5,9.0,2.0,11.5,1.5s,2.5,,20.5,,9.5,1.5s
Precious Achiuwa,21.5,1.5,9.5,,11.0,,2.5,,22.5,,11.5,1.5s
Bam Adebayo,34.5,,11.5,4.5,16.5,1.5s,2.5s,,39.0,27.5,22.5,
Tyrese Maxey,31.0,2.5s,3.5,7.0,10.5,0.5s,,3.0,38.5,34.5,27.5,
Tyler Herro,26.5,2.5s,5.0,5.0,10.5,0.5s,,3.0,32.0,26.5,,0.5
Buddy Hield,22.5,1.5s,5.0,4.5,9.5,0.5s,,,27.5,21.5,,
Kelly Oubre Jr.,24.5,,5.5,,,,2.0,,25.5,,,1.5s
Caleb Martin,16.5,,5.0,,7.5,,1.5s,1.5s,18.5,,,0.5
Paul Reed,18.5,,9.0,2.0,,,2.0,0.5s,21.0,,9.5,
Duncan Robinson,16.5,1.5s,3.0,,7.0,0.5s,,,20.5,17.5,,0.5
Trae Young,27.5,3.5,,10.5,13.5,0.5s,1.5,,38.5,35.5,,1.5s
Jalen Johnson,25.5,,9.5,,13.0,1.5s,2.5,,29.5,18.5,15.5,1.5s
Dejounte Murray,27.5,2.0,5.5,6.5s,12.0,0.5s,,2.5s,33.5,27.5,21.5,1.5s
Miles Bridges,33.5,,7.5,,12.0,,1.5,2.5,38.5,30.5,25.5,
Saddiq Bey,21.5,,6.5,,8.0,0.5s,1.5s,,22.5,15.5,14.5,
Nick Richards,20.5,,8.5,,9.5,,,,21.5,,12.5,
Cody Martin,,,,,8.5,,1.5,,17.5,,,
Brandon Miller,24.5,2.0,,,6.5,0.5,1.5,2.5,26.5,21.5,,
Tre Mann,16.5,2.0,4.5,6.0,11.0,0.5s,1.5s,1.5,22.5,17.5,,
Jayson Tatum,37.5,,9.5,5.5,14.5,0.5,,,43.5,33.5,28.5,1.5s
Derrick White,18.5,,,4.0,8.0,,,2.5,23.5,19.5,,
Nic Claxton,19.5,,9.5s,1.5,11.0,1.5,,,21.5,12.5,10.5,
Mikal Bridges,27.0,2.5s,4.5,3.5,8.0,0.5s,1.5s,,29.5,25.5,,
Cam Johnson,15.5,,4.0,,6.5,0.5s,,,17.5,,,0.5
Kristaps Porzingis,29.5,,7.5,,9.5,1.5,2.5,,31.5,23.5,21.5,
Jrue Holiday,19.5,,5.0,6.0,11.0,0.5s,,2.0,25.5,20.5,,
Cam Thomas,23.5,2.5s,3.0,3.5,6.5,0.5s,,2.0,27.5,24.5,,
Donovan Mitchell,33.5,3.0,,6.5,11.5,0.5s,,,39.5,35.5,28.5,
Darius Garland,18.5,,,6.0,8.5,,1.5s,2.0,25.5,22.5,,
DeMar DeRozan,25.5,1.5,3.5,4.5,8.0,0.5s,1.5,,30.5,26.5,21.5,1.5s
Evan Mobley,24.5,,9.5,,12.5,,,,27.5,17.5,14.5,0.5
Jarrett Allen,29.5,,11.5,,,,2.0,,32.5,,,0.5
Alex Caruso,,1.5s,3.5,,6.5,,2.5,1.5s,15.0,,,
Coby White,24.5,,,5.5,10.0,,,,29.5,25.5,,
Nikola Vucevic,27.5,1.5,10.0,,13.0,,2.0,1.5s,30.5,20.5,17.5,
Max Strus,,,4.0,3.5,7.5,0.5s,,,17.5,,,0.5
Ayo Dosunmu,15.5,1.5,,,5.5,0.5s,,1.5,18.5,15.5,,
Tyrese Haliburton,27.5,2.5,4.0,11.5,15.5,,,3.5s,38.5,34.5,,
Scottie Barnes,30.5,3.0,7.5,7.0,15.5,1.5s,,1.5s,37.5,30.5,,
Pascal Siakam,30.5,,7.0,3.5,10.5,0.5s,1.5s,,34.5,26.5,22.5,
Myles Turner,25.5,1.5,7.5,,8.5,1.5,,1.5,27.5,19.5,18.5,0.5
Immanuel Quickley,22.5,1.5,3.5,5.5s,9.5,0.5s,,,28.5,24.5,,
RJ Barrett,27.5,,6.0,3.5,9.5,0.5s,1.5s,1.5s,30.5,24.5,,
Jakob Poeltl,21.5,1.5,9.0,,,1.5,2.5s,,23.5,,12.5,
Gary Trent Jr.,,,,,,,1.5s,,14.5,,,1.5s
Aaron Nesmith,20.5,1.5s,5.0,,6.5,0.5,,,21.5,16.5,,1.5s
Brandon Ingram,29.5,2.5,5.5,7.0,12.5,,,,36.5,30.5,23.5,
Zion Williamson,29.5,,6.0,5.0,11.0,0.5,1.5,,35.5,28.5,,
Kyle Kuzma,26.5,3.0,6.0,,9.5,,1.5s,2.5s,29.5,23.5,,
CJ McCollum,23.5,1.5,,4.0,8.5,0.5,1.5,3.0,27.5,23.5,,
Herbert Jones,16.5,1.5s,4.0,,6.5,0.5,1.5,1.5,18.5,,,1.5s
Alperen Sengun,30.5,2.5,9.5,5.0,15.0,,,0.5s,36.5,26.5,21.5,1.5s
Dillon Brooks,19.5,1.5,3.5,,,0.5s,,,21.5,,,
Jaren Jackson Jr.,31.5,3.5,5.5,,8.5,,2.5,2.5s,34.5,29.5,,
Jalen Green,24.5,,5.0,,9.0,0.5s,,2.0,28.5,23.5,,1.5s
Amen Thompson,21.0,3.0,9.0,,14.0,,2.5,0.5s,25.5,16.5,11.5,
Jabari Smith Jr.,23.5,1.5,9.0,,,,,,25.5,,14.5,
John Konchar,,,,,7.5,,2.0,,12.5,,,1.5s
Santi Aldama,18.5,1.5s,6.0,,8.5,0.5,1.5,2.5s,21.5,,,
Vince Williams Jr.,19.5,2.0,6.0,4.5,10.5,,,1.5,24.5,18.5,,1.5s
Luka Doncic,41.5,,9.5,10.0,19.5,,2.0,3.5,51.5,42.5,32.5,
Kyrie Irving,31.5,2.5s,,6.0,11.5,0.5s,,2.5,37.5,32.5,,
Victor Wembanyama,33.5,3.5,10.0,,13.5,2.5,3.5s,1.5,36.5,26.5,,
Devin Vassell,23.5,1.5,3.5,4.0,8.0,0.5s,1.5s,2.5,27.5,23.5,,
Jeremy Sochan,18.5,,5.5,,8.0,0.5s,1.5s,,20.5,,,
Tre Jones,,1.5s,3.0,7.5,10.5,,1.5s,0.5,21.5,18.5,,1.5s
Josh Green,,,3.5,,6.5,0.5s,1.5s,,16.5,,,
Julian Champagnie,,,2.5,,,0.5s,,,8.5,,,
De'Aaron Fox,28.5,,3.5,5.0,8.5,0.5s,,2.5,33.5,29.5,,
Domantas Sabonis,32.5,,13.5,8.5,21.5,,,,41.5,27.5,19.5,
Keegan Murray,17.5,,4.5,1.5,6.0,,,1.5,18.5,13.5,,
Harrison Barnes,14.5,0.5,,,3.5,0.5s,,1.5,15.5,12.5,,
Malik Monk,21.5,2.5s,,4.5,8.0,0.5,,,26.5,23.5,,0.5
Kevin Huerter,13.5,,3.0,1.5,4.5,0.5s,1.5s,,14.5,11.5,,
Anthony Davis,38.5,2.0,12.5,4.0,16.5,2.5,4.0,,43.5,30.5,,1.5s
Lauri Markkanen,32.5,,9.0,,10.5,0.5s,,3.5s,34.5,25.5,,
John Collins,23.5,1.5s,8.5,1.5,10.5,0.5,1.5s,,25.5,16.5,14.5,0.5
Jordan Clarkson,20.5,,,4.0,7.5,0.5s,0.5,2.0,24.5,21.5,,
D'Angelo Russell,24.5,2.5s,,6.0,9.0,,1.5,,30.5,27.5,,
Collin Sexton,22.5,2.0,,6.0,9.0,0.5s,,1.5,28.5,25.5,,0.5
