Player,Assists_Line,Assists_Over,Assists_Under,PointsReboundsAssists_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,Points_Line,Points_Over,Points_Under,Rebounds_Line,Rebounds_Over,Rebounds_Under,Threes_Line,Threes_Over,Threes_Under
Miles Bridges,3.5,-156,120,,,,37.5,100,-130,7.5,-105,-123,2.5,113,-147
Brandon Miller,2.5,-108,-120,,,,29.5,-109,-119,4.5,-105,-123,2.5,-137,106
Tre Mann,5.5,100,-130,,,,20.5,100,-130,3.5,-116,-111,1.5,-114,-114
Cody Martin,3.5,-125,-103,,,,16.5,-123,-105,4.5,120,-156,0.5,-196,148
Vasilije Micic,4.5,-139,107,,,,17.5,100,-130,1.5,-196,150,0.5,-182,138
Nick Richards,,,,,,,21.5,-119,-109,9.5,107,-139,,,
Grant Williams,,,,,,,15.5,-108,-120,3.5,-156,120,1.5,-127,-102
Jarrett Allen,2.5,128,-167,,,,31.5,-103,-125,11.5,-120,-108,,,
Darius Garland,5.5,-149,115,,,,25.5,-106,-122,2.5,-111,-116,1.5,-143,110
Evan Mobley,2.5,109,-141,,,,26.5,-125,-103,9.5,-114,-114,0.5,150,-196
Donovan Mitchell,6.5,103,-133,,,,38.5,-120,-108,4.5,-143,110,3.5,117,-152
Max Strus,2.5,-175,135,,,,16.5,-109,-119,4.5,120,-156,1.5,-127,-102
Buddy Hield,3.5,-169,129,,,,24.5,-109,-119,4.5,-102,-127,3.5,103,-133
Caris LeVert,3.5,-125,-103,,,,19.5,-103,-125,3.5,-106,-122,1.5,132,-172
Tyrese Maxey,6.5,105,-135,,,,36.5,-120,-108,2.5,-164,125,2.5,-175,135
Paul Reed,2.5,144,-189,,,,21.5,-103,-125,9.5,-103,-125,0.5,321,-476
Isaac Okoro,,,,,,,12.5,-127,-102,3.5,140,-185,0.5,-169,130
Georges Niang,,,,,,,11.5,-115,-112,3.5,128,-167,1.5,-112,-115
Kelly Oubre Jr.,,,,,,,24.5,-118,-110,5.5,112,-145,1.5,-172,132
Coby White,6.5,-123,-104,,,,35.5,-108,-120,4.5,-143,110,3.5,115,-149
Trae Young,10.5,-135,105,,,,38.5,-114,-114,2.5,-133,103,3.5,118,-154
Nikola Vucevic,3.5,-135,104,,,,35.5,-108,-120,10.5,-120,-108,1.5,-112,-115
Jalen Johnson,3.5,-110,-118,,,,28.5,-110,-118,9.5,106,-137,1.5,117,-152
DeMar DeRozan,5.5,-127,-102,,,,36.5,-108,-120,4.5,115,-149,0.5,-250,185
Dejounte Murray,5.5,-135,105,,,,32.5,-123,-105,5.5,110,-143,2.5,-101,-128
Ayo Dosunmu,3.5,115,-149,,,,19.5,-123,-105,2.5,-141,108,1.5,-149,115
Bogdan Bogdanovic,2.5,115,-149,,,,19.5,-108,-120,2.5,-169,129,2.5,-135,105
Onyeka Okongwu,,,,,,,23.5,-120,-108,8.5,-112,-115,0.5,-119,-109
De'Andre Hunter,,,,,,,15.5,-112,-115,3.5,128,-167,1.5,-108,-120
Jakob Poeltl,2.5,115,-149,,,,24.5,-123,-105,9.5,-130,100,,,
Tre Jones,7.5,104,-135,,,,22.5,-108,-120,3.5,-114,-114,0.5,-147,113
Devin Vassell,3.5,-147,114,,,,29.5,-103,-125,3.5,-149,115,2.5,103,-133
Scottie Barnes,6.5,-110,-118,,,,35.5,-108,-120,7.5,-106,-122,1.5,120,-156
Jeremy Sochan,2.5,-159,122,,,,20.5,-102,-127,6.5,107,-139,0.5,-182,139
