Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line,Saves_Over,Saves_Under,Saves_Line
Connor McDavid,-230,,0.5,,,,,,,,-117,3.5,,,
Leon Draisaitl,-150,,0.5,,,,,,,,-113,2.5,,,
Ryan Nugent-Hopkins,-111,,0.5,,,,-215,,0.5,,-133,2.5,,,
Evan Bouchard,100,,0.5,,,,-155,,0.5,,-133,2.5,,,
Clayton Keller,107,,0.5,,,,-180,,0.5,,-111,2.5,,,
Nick Schmaltz,140,,0.5,,,,-122,,0.5,,117,1.5,,,
Zach Hyman,155,,0.5,,,,-200,,0.5,,-155,3.5,,,
Matias Maccelli,165,,0.5,,,,109,,0.5,,,,,,
Sean Durzi,165,,0.5,,,,130,,0.5,,115,1.5,,,
Evander Kane,220,,0.5,,,,-122,,0.5,,106,2.5,,,
Nick Bjugstad,220,,0.5,,,,129,,0.5,,104,1.5,,,
Corey Perry,255,,0.5,,,,105,,0.5,,,,,,
Dylan Guenther,260,,0.5,,,,135,,0.5,,108,1.5,,,
Lawson Crouse,260,,0.5,,,,127,,0.5,,123,1.5,,,
Warren Foegele,,,,,,,,,,,-198,2.5,,,
Barrett Hayton,,,,,,,,,,,,,,,
Jason Zucker,,,,,,,,,,,100,1.5,,,
Alexander Kerfoot,,,,,,,,,,,,,,,
Ryan McLeod,,,,,,,,,,,,,,,
Logan Cooley,,,,,,,,,,,,,,,
Sam Gagner,,,,,,,,,,,,,,,
Dylan Holloway,,,,,,,,,,,,,,,
Darnell Nurse,,,,,,,,,,,117,1.5,,,
Mattias Ekholm,,,,,,,,,,,,,,,
Mattias Janmark,,,,,,,,,,,,,,,
Derek Ryan,,,,,,,,,,,,,,,
Jack McBain,,,,,,,,,,,,,,,
J.J. Moser,,,,,,,,,,,,,,,
Cody Ceci,,,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,
Juuso Valimaki,,,,,,,,,,,,,,,
Matt Dumba,,,,,,,,,,,,,,,
Vincent Desharnais,,,,,,,,,,,,,,,
Michael Kesselring,,,,,,,,,,,,,,,
Stuart Skinner,,,,,,,,,,,,,,-125,24.5
Matt Villalta,,,,,,,,,,,,,,-111,28.5
Kyle Connor,101,,0.5,,,,-230,,0.5,,127,2.5,,,
Mark Scheifele,117,,0.5,,,,-170,,0.5,,-183,2.5,,,
Josh Morrissey,120,,0.5,,,,-110,,0.5,,-164,2.5,,,
Jonathan Huberdeau,145,,0.5,,,,-107,,0.5,,,,,,
Nazem Kadri,150,,0.5,,,,-135,,0.5,,-188,3.5,,,
Sean Monahan,155,,0.5,,,,-116,,0.5,,120,1.5,,,
Rasmus Andersson,155,,0.5,,,,123,,0.5,,117,1.5,,,
Noah Hanifin,165,,0.5,,,,123,,0.5,,-178,2.5,,,
Mikael Backlund,175,,0.5,,,,-106,,0.5,,-113,2.5,,,
Andrei Kuzmenko,185,,0.5,,,,101,,0.5,,-102,1.5,,,
Yegor Sharangovich,205,,0.5,,,,-101,,0.5,,-188,2.5,,,
Nikolaj Ehlers,205,,0.5,,,,-103,,0.5,,-113,2.5,,,
MacKenzie Weegar,210,,0.5,,,,145,,0.5,,-173,2.5,,,
Cole Perfetti,215,,0.5,,,,128,,0.5,,,,,,
Gabriel Vilardi,220,,0.5,,,,-102,,0.5,,106,1.5,,,
Adam Lowry,230,,0.5,,,,145,,0.5,,,,,,
Andrew Mangiapane,230,,0.5,,,,123,,0.5,,127,1.5,,,
Blake Coleman,235,,0.5,,,,106,,0.5,,-161,2.5,,,
Connor Zary,235,,0.5,,,,121,,0.5,,,,,,
Nino Niederreiter,265,,0.5,,,,145,,0.5,,106,1.5,,,
Mason Appleton,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,,,,
Vladislav Namestnikov,,,,,,,,,,,,,,,
Martin Pospisil,,,,,,,,,,,,,,,
Dryden Hunt,,,,,,,,,,,,,,,
Neal Pionk,,,,,,,,,,,-105,1.5,,,
Walker Duehr,,,,,,,,,,,,,,,
Morgan Barron,,,,,,,,,,,,,,,
Kevin Rooney,,,,,,,,,,,,,,,
Dylan DeMelo,,,,,,,,,,,,,,,
Nate Schmidt,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Oliver Kylington,,,,,,,,,,,,,,,
Chris Tanev,,,,,,,,,,,,,,,
Dylan Samberg,,,,,,,,,,,,,,,
Brayden Pachal,,,,,,,,,,,,,,,
Jacob Markstrom,,,,,,,,,,,,,,-129,27.5
Connor Hellebuyck,,,,,,,,,,,,,,-129,27.5
William Karlsson,-109,,0.5,,,,-225,,0.5,,-119,2.5,,,
Mark Stone,-104,,0.5,,,,-210,,0.5,,-158,2.5,,,
Mikael Granlund,-102,,0.5,,,,-155,,0.5,,108,1.5,,,
Alex Pietrangelo,107,,0.5,,,,-127,,0.5,,-178,2.5,,,
Chandler Stephenson,113,,0.5,,,,-155,,0.5,,,,,,
Jonathan Marchessault,130,,0.5,,,,-220,,0.5,,-152,3.5,,,
Ivan Barbashev,160,,0.5,,,,-124,,0.5,,110,1.5,,,
Nicolas Roy,160,,0.5,,,,-110,,0.5,,110,1.5,,,
William Eklund,185,,0.5,,,,104,,0.5,,127,1.5,,,
Fabian Zetterlund,190,,0.5,,,,-113,,0.5,,-117,2.5,,,
Anthony Duclair,225,,0.5,,,,124,,0.5,,-105,1.5,,,
