Name,FT_Line,Assists_Line,PointsRebounds_Line,Fantasy_Line,PointsAssists_Line,Threes_Line,Points_Line,BlocksSteals_Line,Blocks_Line,Steals_Line,ReboundsAssists_Line,Turnovers_Line,PointsReboundsAssists_Line,Rebounds_Line
Kevin Durant,,5.0,33.5,46.95,31.5,,26.5,2.5,,,12.5,,38.5,7.0
Devin Booker,5.5,6.0,34.5,43.95,35.5,,,,0.5s,,10.5,,40.0,4.5
De'Aaron Fox,,5.0,28.5,40.05,29.5,,,,0.5s,,8.5,2.5,33.5,3.5
Domantas Sabonis,,9.0,33.5,49.55,28.5,0.5,,1.5s,0.5s,,22.5,3.0,42.5,13.5
Bradley Beal,2.5,5.0,23.5,,24.5,,,1.5s,0.5s,,10.0,2.5,29.5,4.5
Keegan Murray,,,,,,,,,,,,,20.5,5.0
Jusuf Nurkic,,,22.5,,15.5,0.5s,11.5,1.5,0.5,,13.5,1.5,25.5,10.5
Harrison Barnes,,,16.5,,,,,,,,,,17.5,
Malik Monk,,5.0,21.5,,23.0,,,1.5s,,0.5,8.5,,26.0,
Kevin Huerter,,,,,,,,1.5s,0.5s,,,,16.5,
Grayson Allen,,,,,,2.5s,,,,,6.5,,17.5,3.5
Drew Eubanks,,,,,,,,,,0.5s,5.5,,10.5,4.5
Trey Lyles,,,,,,,,,0.5s,,5.5,,13.0,4.5
Eric Gordon,,,,,,1.5,,,0.5s,,,,11.5,
Anthony Edwards,,5.5,31.5,,31.5,3.0,,1.5,0.5s,1.5s,10.5,,37.5,5.0
Karl-Anthony Towns,,,30.5,,26.5,,23.5,,0.5,,10.0,,33.5,7.0
Jerami Grant,,,24.5,,23.5,1.5,,,,,6.5,,27.5,4.0
Anfernee Simons,,5.5,24.5,,26.5,3.0,,,,,8.0,,29.5,
Jaden McDaniels,,,13.5,,,,,,,,4.0,1.5s,14.5,2.5
Rudy Gobert,,,27.5,,15.5,,,2.5,,,13.5,1.5s,28.5,12.5
Deandre Ayton,,,22.5,,,,13.5,,,,10.5,,24.5,9.5
Mike Conley,,6.5,,,17.5,2.5s,,,,,,,19.5,
Scoot Henderson,,4.0,15.5,,17.5,1.5s,,,,,7.0,,20.5,
Matisse Thybulle,,1.5,7.5,,7.5,1.5s,,,,,3.5,,9.5,
Jabari Walker,,0.5,13.5,,,,,,,,7.0,,14.5,6.5
Toumani Camara,,,10.5,,7.0,0.5,,,,,5.5,,11.5,4.5
Duop Reath,,,8.5,,6.5,,,,,,3.5,,9.5,3.0
LeBron James,,8.0,31.5,47.05,32.5,2.5s,24.5,2.5s,0.5,,14.5,2.5,39.5,6.5
Anthony Davis,,3.5,36.5,53.35,28.5,,,3.5,,1.5s,15.0,1.5,39.5,11.5
Cade Cunningham,,7.5,26.5,,30.5,1.5,22.5,1.5s,0.5s,,11.5,,34.5,3.5
Austin Reaves,,6.0,19.5,,22.5,,,,0.5s,1.5s,9.0,,25.5,3.0
Jaden Ivey,,4.0,24.5,,25.5,,,,0.5s,0.5,8.0,,29.5,4.5s
Jalen Duren,,,27.0,,,,,1.5s,0.5,0.5s,,2.0,29.5,12.5
