Name,Turnovers_Line,ReboundsAssists_Line,BlocksSteals_Line,Assists_Line,PointsReboundsAssists_Line,Threes_Line,Blocks_Line,Steals_Line,PointsRebounds_Line,Points_Line,Rebounds_Line,PointsAssists_Line
Giannis Antetokounmpo,,,,,49.5,0.5s,,,43.5,,,37.5
Damian Lillard,2.5,10.0,,6.0,34.5,3.0,0.5s,1.5s,28.5,,,30.5
Brook Lopez,1.5s,,,,19.5,,2.0,,17.5,,5.5,
Vince Williams Jr.,2.5,12.5,1.5,5.5,26.5,,0.5s,1.5s,21.5,14.5,6.5,20.5
Malik Beasley,,,1.5s,,16.5,3.0,0.5s,,15.5,,3.5,
Santi Aldama,,8.5,1.5s,,22.5,,,0.5,19.5,,5.5,16.5
Stephen Curry,,10.0,,6.0,40.5,5.5,0.5s,,34.5,30.5,4.0,35.5
Lauri Markkanen,1.5,10.5,1.5s,,32.5,,0.5s,,30.5,22.5,8.5,24.5
Draymond Green,2.0,14.5,2.0,7.0,23.5,0.5,1.5s,,16.5,8.5,7.5,15.5
Klay Thompson,,,,,21.5,3.0,0.5,,19.5,,3.0,18.5
John Collins,,,,,25.5,,0.5,0.5,23.5,14.5,9.0,
Jordan Clarkson,,7.0,,4.0,24.5,2.0,0.5s,0.5,20.5,,3.0,21.5
Andrew Wiggins,,,1.5,,18.5,1.5s,0.5,,16.5,,4.5,
Collin Sexton,2.0,8.0,,5.0,26.5,,0.5s,0.5,21.5,,2.5,24.5
Walker Kessler,1.5s,9.5,3.5,,19.5,,2.5,0.5,18.5,10.0,8.5,
Jonathan Kuminga,,9.0,,,29.5,0.5,0.5,,25.5,,6.0,22.5
Keyonte George,2.0,8.5,,5.0,21.5,,0.5s,,16.5,,,18.5
Talen Horton-Tucker,,5.5,,2.5,12.5,,0.5s,0.5,,,,10.5
Brandin Podziemski,1.5s,11.0,1.5s,4.5,22.5,,0.5s,,17.5,,6.0,16.5
Kris Dunn,,6.0,1.5s,3.5,11.5,0.5,0.5s,,,,2.5,
Anthony Edwards,,10.5,1.5,,37.5,3.0,0.5s,1.5s,31.5,,5.0,32.5
Karl-Anthony Towns,2.5,9.5,,,31.5,2.0,0.5,0.5,29.5,21.5,7.0,24.5
Jerami Grant,2.0,6.5,1.5s,,26.5,,,,23.5,,,22.5
Anfernee Simons,2.5,8.5,,5.5,30.5,3.5,,0.5,24.5,,,27.5
Jaden McDaniels,1.5s,,,,13.5,1.5s,0.5s,,,,2.5,
Naz Reid,,5.5,1.5,,16.5,1.5,,,15.5,,4.5,
Rudy Gobert,,14.5,2.5,,29.5,,,0.5,28.5,,13.0,16.5
Deandre Ayton,,11.5,,,26.0,,,,24.5,14.5,10.0,15.5
Mike Conley,1.5s,9.5,1.5s,6.5,18.5,2.0,0.5s,,,,2.5,16.5
Scoot Henderson,,7.5,,5.0,20.5,1.5s,0.5s,0.5,15.5,,,17.5
