date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2014-10-29,2015,0,19.248,18,15,-4,18.55,0,2,5,0.4,1,1,1.0,1,2,0.5,1,2,3,1,2,0,2,4,6,3.3,-4,https://www.basketball-reference.com/boxscores/201410290MEM.html
2014-10-30,2015,1,19.249,18,9,6,23.8,1,4,9,0.444,0,0,0.0,0,3,0.0,0,4,4,1,1,0,3,1,8,1.6,13,https://www.basketball-reference.com/boxscores/201410300MIN.html
2014-11-01,2015,2,19.251,18,5,-1,30.933,1,3,10,0.3,0,2,0.0,2,2,1.0,3,3,6,0,2,2,3,5,8,3.6,3,https://www.basketball-reference.com/boxscores/201411010MIN.html
2014-11-05,2015,3,19.255,18,3,7,37.15,0,7,12,0.583,1,1,1.0,2,4,0.5,0,4,4,1,1,0,1,2,17,11.7,23,https://www.basketball-reference.com/boxscores/201411050BRK.html
2014-11-07,2015,4,19.257,18,22,-9,25.467,0,3,6,0.5,0,0,0.0,0,0,0.0,1,2,3,1,1,1,0,2,6,5.9,-7,https://www.basketball-reference.com/boxscores/201411070ORL.html
2014-11-08,2015,5,19.258,18,16,-10,27.75,0,3,9,0.333,0,1,0.0,4,5,0.8,0,1,1,2,0,0,1,2,10,4.4,-18,https://www.basketball-reference.com/boxscores/201411080MIA.html
2014-11-12,2015,6,19.262,18,11,-12,31.5,1,6,13,0.462,1,2,0.5,2,2,1.0,0,1,1,0,0,1,4,4,15,3.7,-5,https://www.basketball-reference.com/boxscores/201411120MIN.html
2014-11-14,2015,7,19.264,18,19,-48,23.433,0,7,10,0.7,2,2,1.0,4,6,0.667,2,3,5,1,0,0,3,2,20,14.2,-27,https://www.basketball-reference.com/boxscores/201411140NOP.html
2014-11-15,2015,8,19.265,18,7,-14,23.433,0,2,6,0.333,0,0,0.0,1,2,0.5,2,1,3,0,1,0,1,1,5,2.5,-12,https://www.basketball-reference.com/boxscores/201411150DAL.html
2014-11-19,2015,9,19.269,18,20,16,28.517,1,4,13,0.308,1,1,1.0,3,4,0.75,2,2,4,0,1,0,5,0,12,2.1,10,https://www.basketball-reference.com/boxscores/201411190MIN.html
2014-11-21,2015,10,19.271,18,27,-29,32.867,1,5,14,0.357,0,2,0.0,4,5,0.8,0,3,3,1,2,0,1,2,14,7.6,-14,https://www.basketball-reference.com/boxscores/201411210MIN.html
2014-11-22,2015,11,19.272,18,26,-12,41.183,1,9,22,0.409,2,4,0.5,9,10,0.9,1,4,5,2,4,1,1,1,29,23.4,-5,https://www.basketball-reference.com/boxscores/201411220MIN.html
2014-11-26,2015,12,19.276,18,17,-17,38.683,1,4,14,0.286,2,4,0.5,4,8,0.5,3,5,8,4,1,2,6,2,14,6.2,-9,https://www.basketball-reference.com/boxscores/201411260MIN.html
2014-11-28,2015,13,19.278,18,14,1,29.517,0,1,6,0.167,0,2,0.0,1,1,1.0,0,5,5,1,1,0,3,2,3,-1.4,6,https://www.basketball-reference.com/boxscores/201411280LAL.html
2014-11-30,2015,14,19.28,18,25,-14,18.2,0,3,8,0.375,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,7,2.9,-4,https://www.basketball-reference.com/boxscores/201411300POR.html
2014-12-01,2015,15,19.281,18,13,-26,26.25,0,4,11,0.364,0,0,0.0,6,9,0.667,0,1,1,2,1,0,2,3,14,6.2,-17,https://www.basketball-reference.com/boxscores/201412010LAC.html
2014-12-03,2015,16,19.283,18,23,-8,30.133,1,4,12,0.333,1,1,1.0,2,2,1.0,1,4,5,1,2,1,0,3,11,8.3,-9,https://www.basketball-reference.com/boxscores/201412030MIN.html
2014-12-05,2015,17,19.285,18,11,-2,29.433,1,5,12,0.417,0,2,0.0,1,3,0.333,1,2,3,3,1,0,1,5,11,5.2,-4,https://www.basketball-reference.com/boxscores/201412050MIN.html
2014-12-06,2015,18,19.286,18,27,-22,33.783,0,3,13,0.231,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,2,6,-4.4,-17,https://www.basketball-reference.com/boxscores/201412060SAS.html
2014-12-08,2015,19,19.288,18,10,-16,38.4,1,8,18,0.444,0,1,0.0,5,8,0.625,2,3,5,3,0,0,4,2,21,10.0,-21,https://www.basketball-reference.com/boxscores/201412080MIN.html
2014-12-10,2015,20,19.29,18,25,8,43.9,1,9,16,0.562,0,2,0.0,5,10,0.5,3,7,10,4,2,0,3,1,23,19.0,15,https://www.basketball-reference.com/boxscores/201412100MIN.html
2014-12-12,2015,21,19.292,18,21,-19,43.133,1,7,18,0.389,0,0,0.0,4,4,1.0,2,3,5,2,1,1,2,3,18,10.4,-13,https://www.basketball-reference.com/boxscores/201412120MIN.html
2014-12-14,2015,22,19.294,18,14,-6,28.6,1,4,12,0.333,0,1,0.0,8,8,1.0,0,2,2,0,0,0,2,5,16,5.8,-2,https://www.basketball-reference.com/boxscores/201412140MIN.html
2014-12-16,2015,23,19.296,18,30,-14,35.033,0,3,9,0.333,0,1,0.0,3,3,1.0,1,2,3,2,1,1,1,2,9,6.5,-14,https://www.basketball-reference.com/boxscores/201412160WAS.html
2014-12-19,2015,24,19.299,18,2,-16,25.867,0,2,10,0.2,0,0,0.0,1,1,1.0,1,3,4,2,1,2,0,1,5,3.8,-11,https://www.basketball-reference.com/boxscores/201412190BOS.html
2014-12-21,2015,25,19.301,18,12,-4,31.733,1,2,8,0.25,0,0,0.0,1,2,0.5,3,6,9,1,1,0,1,3,5,3.2,-7,https://www.basketball-reference.com/boxscores/201412210MIN.html
2014-12-23,2015,26,19.303,18,6,-21,36.783,0,9,16,0.562,3,3,1.0,6,8,0.75,1,1,2,2,1,1,3,1,27,19.3,-25,https://www.basketball-reference.com/boxscores/201412230CLE.html
2014-12-26,2015,27,19.306,18,8,-4,41.15,0,8,18,0.444,1,3,0.333,5,8,0.625,3,3,6,3,0,2,0,4,22,16.3,-12,https://www.basketball-reference.com/boxscores/201412260DEN.html
2014-12-27,2015,28,19.307,18,10,-13,24.35,0,3,6,0.5,0,2,0.0,4,8,0.5,1,0,1,1,1,0,3,4,10,3.2,-24,https://www.basketball-reference.com/boxscores/201412270GSW.html
2014-12-30,2015,29,19.31,18,29,-6,40.133,0,10,19,0.526,1,2,0.5,0,0,0.0,2,3,5,1,1,1,1,4,21,13.8,-7,https://www.basketball-reference.com/boxscores/201412300UTA.html
2015-01-01,2015,30,19.312,18,26,-3,40.483,1,11,22,0.5,1,4,0.25,4,5,0.8,5,4,9,2,4,0,3,2,27,21.9,-10,https://www.basketball-reference.com/boxscores/201501010MIN.html
2015-01-03,2015,31,19.314,18,29,-12,36.733,1,8,15,0.533,1,3,0.333,3,3,1.0,1,3,4,2,1,1,0,2,20,16.6,-10,https://www.basketball-reference.com/boxscores/201501030MIN.html
2015-01-05,2015,32,19.316,18,8,-9,40.917,1,8,18,0.444,3,5,0.6,1,2,0.5,2,5,7,4,1,0,1,1,20,15.5,1,https://www.basketball-reference.com/boxscores/201501050MIN.html
2015-01-07,2015,33,19.318,18,24,-2,38.983,1,10,16,0.625,1,4,0.25,4,5,0.8,0,4,4,2,3,0,6,5,25,15.0,2,https://www.basketball-reference.com/boxscores/201501070MIN.html
2015-01-09,2015,34,19.32,18,17,-14,39.433,0,6,17,0.353,1,3,0.333,7,9,0.778,2,5,7,5,2,0,0,3,20,16.9,-8,https://www.basketball-reference.com/boxscores/201501090MIL.html
2015-01-10,2015,35,19.321,18,27,-15,36.983,1,5,11,0.455,0,0,0.0,8,8,1.0,0,3,3,2,0,0,4,2,18,9.8,-7,https://www.basketball-reference.com/boxscores/201501100MIN.html
2015-01-13,2015,36,19.324,18,12,9,35.983,0,7,16,0.438,0,0,0.0,6,6,1.0,1,2,3,4,0,1,2,3,20,13.2,8,https://www.basketball-reference.com/boxscores/201501130IND.html
2015-01-16,2015,37,19.327,18,24,-11,36.067,0,8,15,0.533,1,3,0.333,0,0,0.0,1,4,5,3,1,0,1,0,17,13.7,-11,https://www.basketball-reference.com/boxscores/201501160PHO.html
2015-01-17,2015,38,19.328,18,8,8,39.817,0,11,17,0.647,4,5,0.8,5,6,0.833,1,8,9,4,1,3,2,1,31,29.7,13,https://www.basketball-reference.com/boxscores/201501170DEN.html
2015-01-19,2015,39,19.33,18,4,-25,31.833,0,3,14,0.214,1,6,0.167,5,6,0.833,0,2,2,1,1,1,1,2,12,4.2,-13,https://www.basketball-reference.com/boxscores/201501190CHO.html
2015-01-21,2015,40,19.332,18,7,-23,39.117,1,7,17,0.412,0,3,0.0,4,6,0.667,2,3,5,2,2,0,1,2,18,12.0,-15,https://www.basketball-reference.com/boxscores/201501210MIN.html
2015-01-23,2015,41,19.334,18,19,-8,37.817,1,6,16,0.375,0,2,0.0,1,3,0.333,1,1,2,1,0,1,2,4,13,2.2,-9,https://www.basketball-reference.com/boxscores/201501230MIN.html
2015-01-25,2015,42,19.336,18,1,-12,40.567,0,5,11,0.455,0,0,0.0,2,4,0.5,2,5,7,1,1,1,3,1,12,7.4,-15,https://www.basketball-reference.com/boxscores/201501250ATL.html
2015-01-26,2015,43,19.337,18,21,-8,38.3,0,7,14,0.5,0,1,0.0,9,12,0.75,3,1,4,2,2,1,3,3,23,17.1,-4,https://www.basketball-reference.com/boxscores/201501260OKC.html
2015-01-28,2015,44,19.339,18,2,12,39.7,1,5,11,0.455,0,2,0.0,2,2,1.0,1,2,3,3,0,1,1,1,12,9.0,19,https://www.basketball-reference.com/boxscores/201501280MIN.html
2015-01-30,2015,45,19.341,18,23,-9,36.217,0,7,17,0.412,0,2,0.0,1,1,1.0,2,2,4,3,1,0,1,2,15,9.2,-2,https://www.basketball-reference.com/boxscores/201501300PHI.html
2015-01-31,2015,46,19.342,18,6,-16,43.2,1,14,25,0.56,3,4,0.75,2,3,0.667,1,0,1,1,4,0,1,1,33,24.7,-8,https://www.basketball-reference.com/boxscores/201501310MIN.html
2015-02-02,2015,47,19.344,18,7,-6,42.617,0,4,14,0.286,0,0,0.0,6,7,0.857,5,0,5,3,2,1,4,4,14,8.1,2,https://www.basketball-reference.com/boxscores/201502020DAL.html
2015-02-04,2015,48,19.346,18,16,1,36.883,1,2,8,0.25,0,0,0.0,2,2,1.0,1,4,5,1,0,1,0,4,6,2.9,4,https://www.basketball-reference.com/boxscores/201502040MIN.html
2015-02-06,2015,49,19.348,18,15,1,43.35,1,6,11,0.545,0,1,0.0,6,7,0.857,3,3,6,2,1,0,3,4,18,13.1,5,https://www.basketball-reference.com/boxscores/201502060MIN.html
2015-02-08,2015,50,19.35,18,9,11,39.483,0,6,12,0.5,1,1,1.0,5,7,0.714,1,7,8,5,0,1,2,3,18,15.0,6,https://www.basketball-reference.com/boxscores/201502080DET.html
2015-02-09,2015,51,19.351,18,1,-12,36.7,1,6,14,0.429,0,2,0.0,3,4,0.75,5,1,6,3,0,2,3,3,15,10.3,-13,https://www.basketball-reference.com/boxscores/201502090MIN.html
2015-02-11,2015,52,19.353,18,10,-3,38.267,1,3,7,0.429,0,1,0.0,0,0,0.0,2,2,4,4,2,0,1,3,6,6.9,4,https://www.basketball-reference.com/boxscores/201502110MIN.html
2015-02-20,2015,53,19.362,18,24,2,37.45,1,9,15,0.6,0,1,0.0,2,2,1.0,2,0,2,2,1,1,2,2,20,14.8,-5,https://www.basketball-reference.com/boxscores/201502200MIN.html
2015-02-23,2015,54,20.0,18,11,-11,41.067,0,12,24,0.5,1,3,0.333,5,5,1.0,3,3,6,1,1,1,5,5,30,16.4,-6,https://www.basketball-reference.com/boxscores/201502230HOU.html
2015-02-25,2015,55,20.002,18,30,20,35.883,1,6,13,0.462,0,2,0.0,7,9,0.778,0,3,3,1,1,2,2,0,19,13.5,16,https://www.basketball-reference.com/boxscores/201502250MIN.html
2015-02-27,2015,56,20.004,18,5,-7,32.5,0,5,11,0.455,0,0,0.0,4,10,0.4,0,4,4,1,2,0,1,5,14,6.8,-10,https://www.basketball-reference.com/boxscores/201502270CHI.html
