date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2017-10-18,2018,0,20.092,16,22,-7,5.7,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,3,https://www.basketball-reference.com/boxscores/201710180ORL.html
2017-10-21,2018,1,20.095,16,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201710210MIA.html
2017-10-23,2018,2,20.097,16,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201710230MIA.html
2017-10-25,2018,3,20.099,16,27,-17,19.583,1,2,6,0.333,0,0,0.0,0,0,0.0,1,7,8,0,0,1,0,3,4,2.9,-12,https://www.basketball-reference.com/boxscores/201710250MIA.html
2017-10-28,2018,4,20.102,16,2,-6,24.317,1,2,4,0.5,0,0,0.0,2,2,1.0,1,2,3,0,1,1,1,3,6,4.8,-9,https://www.basketball-reference.com/boxscores/201710280MIA.html
2017-10-30,2018,5,20.104,16,18,-3,31.183,1,5,9,0.556,0,0,0.0,3,6,0.5,10,3,13,0,0,0,1,3,13,13.2,-16,https://www.basketball-reference.com/boxscores/201710300MIA.html
2017-11-01,2018,6,20.106,16,5,6,13.067,1,1,2,0.5,0,0,0.0,2,2,1.0,0,4,4,0,2,0,0,0,4,6.2,8,https://www.basketball-reference.com/boxscores/201711010MIA.html
2017-11-03,2018,7,20.108,16,8,-1,3.517,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,6,https://www.basketball-reference.com/boxscores/201711030DEN.html
2017-11-05,2018,8,20.11,16,13,3,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-5,https://www.basketball-reference.com/boxscores/201711050LAC.html
2017-11-06,2018,9,20.111,16,10,-17,13.25,0,1,1,1.0,0,0,0.0,1,1,1.0,2,4,6,0,1,2,1,0,3,6.7,-3,https://www.basketball-reference.com/boxscores/201711060GSW.html
2017-11-08,2018,10,20.113,16,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711080PHO.html
2017-11-10,2018,11,20.115,16,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711100UTA.html
2017-11-12,2018,12,20.117,16,9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711120DET.html
2017-11-15,2018,13,20.12,16,30,-9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711150MIA.html
2017-11-17,2018,14,20.122,16,30,3,4.133,0,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,-0.1,-7,https://www.basketball-reference.com/boxscores/201711170WAS.html
2017-11-19,2018,15,20.124,16,12,-25,7.7,1,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,2.3,-14,https://www.basketball-reference.com/boxscores/201711190MIA.html
2017-11-22,2018,16,20.127,16,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711220MIA.html
2017-11-24,2018,17,20.129,16,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711240MIN.html
2017-11-26,2018,18,20.131,16,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201711260CHI.html
2017-11-28,2018,19,20.133,16,6,-11,18.45,0,7,7,1.0,0,0,0.0,5,5,1.0,1,5,6,2,0,1,0,0,19,21.2,13,https://www.basketball-reference.com/boxscores/201711280CLE.html
2017-11-29,2018,20,20.134,16,20,-29,30.55,0,4,5,0.8,0,0,0.0,1,2,0.5,1,4,5,0,2,0,1,3,9,8.4,-20,https://www.basketball-reference.com/boxscores/201711290NYK.html
2017-12-01,2018,21,20.136,16,4,5,18.15,1,0,3,0.0,0,0,0.0,1,2,0.5,3,2,5,0,4,2,3,3,1,2.4,-13,https://www.basketball-reference.com/boxscores/201712010MIA.html
2017-12-03,2018,22,20.138,16,10,-28,19.933,1,3,5,0.6,0,0,0.0,3,4,0.75,1,1,2,0,1,0,0,2,9,7.5,-16,https://www.basketball-reference.com/boxscores/201712030MIA.html
2017-12-06,2018,23,20.141,16,27,-12,17.75,0,3,4,0.75,0,0,0.0,0,0,0.0,2,1,3,0,1,2,2,2,6,5.7,-12,https://www.basketball-reference.com/boxscores/201712060SAS.html
2017-12-09,2018,24,20.144,16,3,12,19.933,0,1,3,0.333,0,0,0.0,0,0,0.0,2,3,5,2,0,1,0,3,2,3.5,20,https://www.basketball-reference.com/boxscores/201712090BRK.html
2017-12-11,2018,25,20.146,16,15,25,22.917,0,5,6,0.833,0,0,0.0,4,5,0.8,0,4,4,2,2,2,0,5,14,15.4,10,https://www.basketball-reference.com/boxscores/201712110MEM.html
2017-12-13,2018,26,20.148,16,25,-7,30.267,1,3,3,1.0,0,0,0.0,6,8,0.75,3,4,7,2,0,0,3,3,12,10.8,-10,https://www.basketball-reference.com/boxscores/201712130MIA.html
2017-12-15,2018,27,20.15,16,4,6,21.783,0,5,6,0.833,0,0,0.0,1,1,1.0,1,4,5,1,0,0,2,4,11,7.8,0,https://www.basketball-reference.com/boxscores/201712150CHO.html
2017-12-16,2018,28,20.151,16,13,5,28.233,1,2,7,0.286,0,0,0.0,3,4,0.75,4,1,5,3,0,0,0,3,7,6.5,-5,https://www.basketball-reference.com/boxscores/201712160MIA.html
2017-12-18,2018,29,20.153,16,1,-6,30.467,0,3,6,0.5,0,0,0.0,5,7,0.714,4,6,10,1,1,2,3,4,11,10.3,-1,https://www.basketball-reference.com/boxscores/201712180ATL.html
2017-12-20,2018,30,20.155,16,2,1,20.467,0,3,6,0.5,0,0,0.0,0,1,0.0,0,5,5,0,0,0,1,1,6,2.7,5,https://www.basketball-reference.com/boxscores/201712200BOS.html
2017-12-22,2018,31,20.157,16,7,12,37.483,1,6,9,0.667,0,0,0.0,2,2,1.0,1,7,8,5,1,0,1,3,14,15.2,28,https://www.basketball-reference.com/boxscores/201712220MIA.html
2017-12-23,2018,32,20.158,16,19,-15,30.333,1,4,7,0.571,0,1,0.0,1,2,0.5,3,4,7,4,0,1,1,2,9,10.3,-17,https://www.basketball-reference.com/boxscores/201712230MIA.html
2017-12-26,2018,33,20.161,16,22,18,25.467,1,3,4,0.75,0,0,0.0,2,2,1.0,3,6,9,4,1,1,1,2,8,13.0,24,https://www.basketball-reference.com/boxscores/201712260MIA.html
2017-12-29,2018,34,20.164,16,3,-24,27.767,1,2,5,0.4,0,0,0.0,3,5,0.6,2,3,5,1,1,0,2,2,7,4.7,-21,https://www.basketball-reference.com/boxscores/201712290MIA.html
2017-12-30,2018,35,20.165,16,22,6,15.867,0,3,5,0.6,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,4,6,2.4,-7,https://www.basketball-reference.com/boxscores/201712300ORL.html
2018-01-03,2018,36,20.169,16,9,7,10.233,1,0,4,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,0,0,-1.8,-5,https://www.basketball-reference.com/boxscores/201801030MIA.html
2018-01-05,2018,37,20.171,16,20,4,14.883,1,0,0,0.0,0,0,0.0,2,2,1.0,1,6,7,2,0,0,1,0,2,4.9,-5,https://www.basketball-reference.com/boxscores/201801050MIA.html
2018-01-07,2018,38,20.173,16,29,1,7.3,1,1,1,1.0,0,0,0.0,2,3,0.667,1,1,2,0,0,0,1,1,4,2.9,-2,https://www.basketball-reference.com/boxscores/201801070MIA.html
2018-01-09,2018,39,20.175,16,28,1,32.55,0,8,14,0.571,0,1,0.0,0,0,0.0,5,10,15,3,0,5,0,3,16,20.3,9,https://www.basketball-reference.com/boxscores/201801090TOR.html
2018-01-10,2018,40,20.176,16,12,8,31.183,0,4,9,0.444,0,1,0.0,7,9,0.778,0,2,2,5,1,0,1,2,15,12.8,-9,https://www.basketball-reference.com/boxscores/201801100IND.html
2018-01-14,2018,41,20.18,16,17,18,27.85,1,2,6,0.333,0,0,0.0,2,2,1.0,0,4,4,6,0,0,1,4,6,5.4,10,https://www.basketball-reference.com/boxscores/201801140MIA.html
2018-01-15,2018,42,20.181,16,5,-8,18.733,0,2,5,0.4,0,1,0.0,2,2,1.0,2,3,5,0,1,0,1,1,6,5.2,10,https://www.basketball-reference.com/boxscores/201801150CHI.html
2018-01-17,2018,43,20.183,16,17,5,18.817,0,2,6,0.333,0,0,0.0,0,0,0.0,3,3,6,5,1,0,2,4,4,4.5,-2,https://www.basketball-reference.com/boxscores/201801170MIL.html
2018-01-19,2018,44,20.185,16,3,-6,14.3,0,3,5,0.6,0,0,0.0,3,4,0.75,1,2,3,2,0,0,1,3,9,6.8,0,https://www.basketball-reference.com/boxscores/201801190BRK.html
2018-01-20,2018,45,20.186,16,4,1,23.55,0,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,5,2,1,1,1,6,11.5,8,https://www.basketball-reference.com/boxscores/201801200CHO.html
2018-01-22,2018,46,20.188,16,11,-9,17.3,0,3,4,0.75,0,0,0.0,1,2,0.5,1,4,5,2,0,0,0,1,7,7.9,-1,https://www.basketball-reference.com/boxscores/201801220HOU.html
2018-01-25,2018,47,20.191,16,26,-1,20.55,1,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,2,1,1,0,3,6,6.2,10,https://www.basketball-reference.com/boxscores/201801250MIA.html
2018-01-27,2018,48,20.193,16,4,4,25.633,1,4,6,0.667,0,0,0.0,0,0,0.0,2,10,12,0,1,1,1,1,8,10.1,13,https://www.basketball-reference.com/boxscores/201801270MIA.html
2018-01-29,2018,49,20.195,16,7,7,19.133,0,1,3,0.333,0,0,0.0,0,0,0.0,2,3,5,4,1,1,2,1,2,4.7,0,https://www.basketball-reference.com/boxscores/201801290DAL.html
2018-01-31,2018,50,20.197,16,6,-2,18.567,0,3,5,0.6,0,0,0.0,3,5,0.6,1,4,5,1,0,0,3,0,9,5.5,-2,https://www.basketball-reference.com/boxscores/201801310CLE.html
2018-02-02,2018,51,20.199,16,23,-6,29.183,0,5,9,0.556,0,0,0.0,5,10,0.5,5,8,13,6,0,0,0,4,15,17.2,9,https://www.basketball-reference.com/boxscores/201802020PHI.html
2018-02-03,2018,52,20.2,16,9,-4,23.617,0,2,5,0.4,0,0,0.0,0,2,0.0,1,4,5,0,0,1,0,2,4,2.3,-11,https://www.basketball-reference.com/boxscores/201802030DET.html
2018-02-05,2018,53,20.202,16,22,-2,26.267,1,6,13,0.462,0,2,0.0,6,8,0.75,2,8,10,1,1,2,0,2,18,16.6,-7,https://www.basketball-reference.com/boxscores/201802050MIA.html
