date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2023-10-25,2024,0,20.337,4,1,6,24.617,1,5,9,0.556,3,7,0.429,0,0,0.0,0,3,3,2,0,0,1,3,13,8.8,-13,https://www.basketball-reference.com/boxscores/202310250CHO.html
2023-10-27,2024,1,20.339,4,9,-12,33.417,1,6,13,0.462,2,4,0.5,3,4,0.75,2,4,6,2,1,1,3,4,17,11.0,-2,https://www.basketball-reference.com/boxscores/202310270CHO.html
2023-10-30,2024,2,20.342,4,3,-12,36.133,1,7,16,0.438,2,5,0.4,6,6,1.0,4,5,9,2,0,1,0,3,22,18.8,-4,https://www.basketball-reference.com/boxscores/202310300CHO.html
2023-11-01,2024,3,20.344,4,11,-9,23.933,0,4,9,0.444,1,3,0.333,1,2,0.5,1,4,5,2,0,0,1,5,10,5.2,-6,https://www.basketball-reference.com/boxscores/202311010HOU.html
2023-11-04,2024,4,20.347,4,12,1,33.833,0,4,7,0.571,0,2,0.0,2,2,1.0,1,2,3,1,0,1,0,4,10,7.8,17,https://www.basketball-reference.com/boxscores/202311040IND.html
2023-11-05,2024,5,20.348,4,7,-6,35.867,0,3,12,0.25,0,5,0.0,1,2,0.5,0,1,1,1,1,0,0,3,7,0.2,-9,https://www.basketball-reference.com/boxscores/202311050DAL.html
2023-11-08,2024,6,20.351,4,30,-16,30.0,1,5,11,0.455,1,2,0.5,2,3,0.667,2,3,5,2,1,0,2,2,13,8.8,-11,https://www.basketball-reference.com/boxscores/202311080CHO.html
2023-11-10,2024,7,20.353,4,30,7,31.583,0,5,16,0.313,0,6,0.0,2,2,1.0,2,1,3,2,1,2,1,5,12,5.3,3,https://www.basketball-reference.com/boxscores/202311100WAS.html
2023-11-12,2024,8,20.355,4,20,-22,9.933,0,5,6,0.833,1,2,0.5,0,1,0.0,1,2,3,0,0,0,0,0,11,9.7,4,https://www.basketball-reference.com/boxscores/202311120NYK.html
2023-11-14,2024,9,20.357,4,16,-6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202311140CHO.html
2023-11-17,2024,10,20.36,4,17,-31,27.467,1,5,12,0.417,0,3,0.0,0,1,0.0,2,2,4,3,1,0,1,2,10,6.5,-24,https://www.basketball-reference.com/boxscores/202311170CHO.html
2023-11-18,2024,11,20.361,4,20,-14,33.733,1,10,15,0.667,5,7,0.714,4,4,1.0,0,3,3,2,0,0,2,3,29,21.6,-7,https://www.basketball-reference.com/boxscores/202311180CHO.html
2023-11-20,2024,12,20.363,4,2,3,39.767,1,4,12,0.333,1,4,0.25,0,0,0.0,4,3,7,4,2,1,2,2,9,8.6,22,https://www.basketball-reference.com/boxscores/202311200CHO.html
2023-11-22,2024,13,21.0,4,30,3,31.483,1,6,12,0.5,3,6,0.5,0,0,0.0,0,0,0,3,1,0,0,2,15,11.3,-2,https://www.basketball-reference.com/boxscores/202311220CHO.html
2023-11-26,2024,14,21.004,4,22,-13,32.717,0,7,11,0.636,2,3,0.667,4,5,0.8,0,5,5,1,1,0,2,5,20,13.9,-1,https://www.basketball-reference.com/boxscores/202311260ORL.html
2023-11-28,2024,15,21.006,4,20,-24,36.2,0,7,18,0.389,4,8,0.5,0,0,0.0,0,3,3,2,1,0,3,2,18,7.7,-24,https://www.basketball-reference.com/boxscores/202311280NYK.html
2023-11-30,2024,16,21.008,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202311300BRK.html
2023-12-02,2024,17,21.01,4,18,-6,36.333,1,5,13,0.385,2,4,0.5,2,2,1.0,1,4,5,3,0,2,2,3,14,9.1,-8,https://www.basketball-reference.com/boxscores/202312020CHO.html
2023-12-06,2024,18,21.014,4,5,-11,38.883,0,4,14,0.286,3,6,0.5,1,1,1.0,0,6,6,4,1,1,2,3,12,6.9,-8,https://www.basketball-reference.com/boxscores/202312060CHI.html
2023-12-08,2024,19,21.016,4,28,3,35.333,1,7,15,0.467,4,7,0.571,2,2,1.0,0,5,5,3,0,2,4,1,20,12.9,2,https://www.basketball-reference.com/boxscores/202312080CHO.html
2023-12-11,2024,20,21.019,4,16,-2,30.167,1,6,14,0.429,3,8,0.375,1,1,1.0,0,4,4,2,0,0,2,5,16,7.2,3,https://www.basketball-reference.com/boxscores/202312110CHO.html
2023-12-13,2024,21,21.021,4,16,-11,38.583,0,7,16,0.438,4,10,0.4,0,0,0.0,0,2,2,3,3,0,5,3,18,9.1,-4,https://www.basketball-reference.com/boxscores/202312130MIA.html
2023-12-15,2024,22,21.023,4,19,-5,35.283,1,7,16,0.438,2,5,0.4,0,2,0.0,0,4,4,3,1,0,0,3,16,9.9,-1,https://www.basketball-reference.com/boxscores/202312150CHO.html
2023-12-16,2024,23,21.024,4,23,-53,29.267,1,4,16,0.25,2,7,0.286,4,4,1.0,0,4,4,4,0,1,3,0,14,6.1,-28,https://www.basketball-reference.com/boxscores/202312160CHO.html
2023-12-18,2024,24,21.026,4,28,-15,36.683,0,6,16,0.375,0,5,0.0,2,2,1.0,0,3,3,0,0,1,3,3,14,2.6,-6,https://www.basketball-reference.com/boxscores/202312180TOR.html
2023-12-20,2024,25,21.028,4,12,-31,32.767,0,9,17,0.529,2,4,0.5,1,2,0.5,2,4,6,3,1,0,1,4,21,15.4,-30,https://www.basketball-reference.com/boxscores/202312200IND.html
2023-12-23,2024,26,21.031,4,8,-7,10.75,1,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,2,0,0,3,1,4,-0.4,-4,https://www.basketball-reference.com/boxscores/202312230CHO.html
2023-12-26,2024,27,21.034,4,13,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202312260LAC.html
