date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2008-10-29,2009,0,20.211,-1,30,10,25.2,0,3,8,0.375,0,0,0.0,2,3,0.667,1,7,8,1,1,2,0,3,8,7.9,12,https://www.basketball-reference.com/boxscores/200810290WAS.html
2008-11-01,2009,1,20.214,-1,10,-8,19.267,1,4,7,0.571,0,0,0.0,2,2,1.0,2,6,8,1,2,2,3,6,10,8.6,-8,https://www.basketball-reference.com/boxscores/200811010NJN.html
2008-11-04,2009,2,20.217,-1,24,-28,19.15,1,1,6,0.167,0,0,0.0,0,0,0.0,2,4,6,0,1,2,4,4,2,-2.4,-12,https://www.basketball-reference.com/boxscores/200811040NJN.html
2008-11-07,2009,3,20.22,-1,9,7,12.733,1,0,3,0.0,0,0,0.0,2,2,1.0,1,3,4,0,0,1,2,1,2,-0.2,-15,https://www.basketball-reference.com/boxscores/200811070NJN.html
2008-11-08,2009,4,20.221,-1,12,-18,15.083,0,3,4,0.75,0,0,0.0,2,3,0.667,0,1,1,0,2,0,0,4,8,6.7,-3,https://www.basketball-reference.com/boxscores/200811080IND.html
2008-11-10,2009,5,20.223,-1,16,-5,14.067,0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,3,2,0,-3.2,-3,https://www.basketball-reference.com/boxscores/200811100MIA.html
2008-11-12,2009,6,20.225,-1,12,-11,20.483,1,0,2,0.0,0,0,0.0,1,2,0.5,1,4,5,0,0,0,0,2,1,0.3,-2,https://www.basketball-reference.com/boxscores/200811120NJN.html
2008-11-14,2009,7,20.227,-1,1,7,34.183,1,11,17,0.647,0,0,0.0,3,4,0.75,6,3,9,2,2,4,0,2,25,27.6,2,https://www.basketball-reference.com/boxscores/200811140NJN.html
2008-11-15,2009,8,20.228,-1,1,12,28.233,0,2,3,0.667,0,0,0.0,1,2,0.5,0,7,7,1,0,3,2,4,5,4.6,6,https://www.basketball-reference.com/boxscores/200811150ATL.html
2008-11-18,2009,9,20.231,-1,6,-24,33.05,1,6,13,0.462,0,0,0.0,3,3,1.0,8,5,13,0,1,0,1,6,15,13.0,-17,https://www.basketball-reference.com/boxscores/200811180NJN.html
2008-11-21,2009,10,20.234,-1,28,2,30.183,0,7,11,0.636,0,0,0.0,0,1,0.0,2,4,6,0,0,1,0,4,14,10.4,18,https://www.basketball-reference.com/boxscores/200811210TOR.html
2008-11-22,2009,11,20.235,-1,13,17,35.3,1,6,10,0.6,0,0,0.0,2,3,0.667,2,8,10,1,0,0,2,3,14,10.3,22,https://www.basketball-reference.com/boxscores/200811220NJN.html
2008-11-25,2009,12,20.238,-1,14,-27,38.75,0,6,15,0.4,0,0,0.0,5,6,0.833,5,5,10,2,1,3,1,3,17,15.8,-20,https://www.basketball-reference.com/boxscores/200811250LAL.html
2008-11-26,2009,13,20.239,-1,26,2,41.617,0,8,14,0.571,0,0,0.0,4,5,0.8,2,6,8,2,0,3,2,3,20,16.5,1,https://www.basketball-reference.com/boxscores/200811260SAC.html
2008-11-29,2009,14,20.242,-1,29,17,28.1,0,1,4,0.25,0,0,0.0,0,0,0.0,2,6,8,0,0,4,2,4,2,2.0,4,https://www.basketball-reference.com/boxscores/200811290UTA.html
2008-11-30,2009,15,20.243,-1,24,8,29.533,0,5,8,0.625,0,0,0.0,2,2,1.0,4,3,7,0,1,1,3,3,12,9.6,5,https://www.basketball-reference.com/boxscores/200811300PHO.html
2008-12-02,2009,16,20.245,-1,30,-20,35.1,1,3,9,0.333,0,0,0.0,4,4,1.0,3,6,9,1,0,3,2,1,10,9.2,-6,https://www.basketball-reference.com/boxscores/200812020NJN.html
2008-12-05,2009,17,20.248,-1,18,29,25.367,1,3,9,0.333,0,0,0.0,5,6,0.833,5,5,10,2,0,0,0,2,11,11.1,14,https://www.basketball-reference.com/boxscores/200812050NJN.html
2008-12-06,2009,18,20.249,-1,23,11,26.317,0,3,7,0.429,0,0,0.0,0,0,0.0,3,8,11,0,0,3,2,3,6,5.7,17,https://www.basketball-reference.com/boxscores/200812060PHI.html
2008-12-10,2009,19,20.253,-1,20,-12,25.867,1,4,7,0.571,0,0,0.0,0,0,0.0,2,4,6,1,0,4,5,1,8,5.4,-4,https://www.basketball-reference.com/boxscores/200812100NJN.html
2008-12-12,2009,20,20.255,-1,28,-22,26.883,1,3,8,0.375,0,0,0.0,0,0,0.0,2,6,8,1,1,2,2,4,6,4.3,-26,https://www.basketball-reference.com/boxscores/200812120NJN.html
2008-12-13,2009,21,20.256,-1,5,-9,33.167,0,8,14,0.571,0,0,0.0,1,2,0.5,3,4,7,0,0,3,0,1,17,15.0,4,https://www.basketball-reference.com/boxscores/200812130CHI.html
2008-12-15,2009,22,20.258,-1,28,7,25.183,0,4,13,0.308,0,0,0.0,2,2,1.0,3,4,7,2,0,3,4,6,10,2.9,8,https://www.basketball-reference.com/boxscores/200812150TOR.html
2008-12-17,2009,23,20.26,-1,29,-11,31.7,1,7,13,0.538,0,0,0.0,1,2,0.5,3,4,7,0,0,2,0,6,15,10.6,-12,https://www.basketball-reference.com/boxscores/200812170NJN.html
2008-12-19,2009,24,20.262,-1,7,24,31.0,1,4,10,0.4,0,0,0.0,0,0,0.0,3,3,6,0,2,0,1,2,8,5.8,7,https://www.basketball-reference.com/boxscores/200812190NJN.html
2008-12-20,2009,25,20.263,-1,16,-3,35.667,1,11,16,0.688,0,0,0.0,0,0,0.0,6,7,13,0,2,5,1,4,22,24.4,-9,https://www.basketball-reference.com/boxscores/200812200NJN.html
2008-12-22,2009,26,20.265,-1,11,-23,29.883,1,4,11,0.364,0,0,0.0,0,0,0.0,3,6,9,1,0,2,0,0,8,7.9,-14,https://www.basketball-reference.com/boxscores/200812220NJN.html
2008-12-23,2009,27,20.266,-1,12,1,30.067,0,1,6,0.167,0,0,0.0,0,0,0.0,3,5,8,0,0,2,4,2,2,-1.6,2,https://www.basketball-reference.com/boxscores/200812230IND.html
2008-12-26,2009,28,20.269,-1,-1,-8,31.583,1,6,11,0.545,0,0,0.0,2,4,0.5,4,3,7,1,1,2,2,4,14,11.1,-12,https://www.basketball-reference.com/boxscores/200812260NJN.html
2008-12-27,2009,29,20.27,-1,-1,11,30.7,0,3,8,0.375,0,0,0.0,0,0,0.0,3,10,13,1,1,2,0,6,6,7.4,1,https://www.basketball-reference.com/boxscores/200812270CHA.html
2008-12-29,2009,30,20.272,-1,5,-13,26.883,1,4,9,0.444,0,0,0.0,1,1,1.0,3,5,8,0,0,2,0,3,9,8.1,-12,https://www.basketball-reference.com/boxscores/200812290NJN.html
2008-12-31,2009,31,20.274,-1,9,-8,37.333,0,8,13,0.615,0,0,0.0,7,7,1.0,6,6,12,3,0,2,3,4,23,22.0,0,https://www.basketball-reference.com/boxscores/200812310DET.html
2009-01-02,2009,32,20.276,-1,1,2,37.133,1,3,10,0.3,0,0,0.0,1,1,1.0,4,7,11,2,2,2,4,4,7,5.3,-1,https://www.basketball-reference.com/boxscores/200901020NJN.html
2009-01-03,2009,33,20.277,-1,16,-5,30.883,0,6,17,0.353,0,0,0.0,0,0,0.0,5,3,8,1,0,1,2,2,12,5.5,-4,https://www.basketball-reference.com/boxscores/200901030MIA.html
2009-01-05,2009,34,20.279,-1,26,8,22.6,1,1,7,0.143,0,0,0.0,1,2,0.5,5,3,8,0,0,1,3,3,3,-1.0,5,https://www.basketball-reference.com/boxscores/200901050NJN.html
2009-01-07,2009,35,20.281,-1,15,11,31.883,1,8,11,0.727,0,0,0.0,1,1,1.0,0,8,8,0,1,5,3,3,17,15.2,4,https://www.basketball-reference.com/boxscores/200901070NJN.html
2009-01-09,2009,36,20.283,-1,17,-2,34.7,0,4,6,0.667,0,0,0.0,0,0,0.0,2,6,8,0,1,2,3,4,8,6.4,3,https://www.basketball-reference.com/boxscores/200901090MIL.html
2009-01-12,2009,37,20.286,-1,21,4,41.3,1,10,17,0.588,0,0,0.0,11,12,0.917,5,8,13,0,0,2,2,2,31,27.2,9,https://www.basketball-reference.com/boxscores/200901120NJN.html
2009-01-14,2009,38,20.288,-1,2,-32,31.383,0,4,14,0.286,0,0,0.0,5,6,0.833,3,5,8,2,1,5,3,2,13,10.1,-11,https://www.basketball-reference.com/boxscores/200901140BOS.html
2009-01-15,2009,39,20.289,-1,25,-6,32.75,1,7,10,0.7,0,0,0.0,3,3,1.0,2,4,6,2,1,2,1,3,17,17.0,-1,https://www.basketball-reference.com/boxscores/200901150NJN.html
2009-01-17,2009,40,20.291,-1,2,-20,41.1,1,12,17,0.706,0,0,0.0,4,5,0.8,2,8,10,0,0,0,3,2,28,20.5,-18,https://www.basketball-reference.com/boxscores/200901170NJN.html
2009-01-21,2009,41,20.295,-1,-1,-10,32.983,0,4,8,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,0,3,2,8,1.5,-4,https://www.basketball-reference.com/boxscores/200901210NOH.html
2009-01-23,2009,42,20.297,-1,27,-3,35.8,0,7,17,0.412,0,0,0.0,1,1,1.0,3,5,8,1,1,1,0,3,15,10.7,1,https://www.basketball-reference.com/boxscores/200901230SAS.html
2009-01-24,2009,43,20.298,-1,15,11,30.85,0,3,8,0.375,0,0,0.0,2,2,1.0,2,1,3,1,1,3,1,3,8,6.9,9,https://www.basketball-reference.com/boxscores/200901240MEM.html
2009-01-26,2009,44,20.3,-1,21,-9,31.1,0,8,13,0.615,0,0,0.0,2,2,1.0,3,4,7,0,1,0,1,0,18,15.4,-2,https://www.basketball-reference.com/boxscores/200901260OKC.html
2009-01-28,2009,45,20.302,-1,28,-1,34.117,1,7,10,0.7,0,0,0.0,0,0,0.0,1,3,4,0,0,1,3,4,14,7.5,8,https://www.basketball-reference.com/boxscores/200901280NJN.html
2009-01-30,2009,46,20.304,-1,1,-17,25.283,0,6,12,0.5,0,0,0.0,3,3,1.0,2,3,5,0,0,0,2,5,15,7.3,-2,https://www.basketball-reference.com/boxscores/200901300ATL.html
2009-01-31,2009,47,20.305,-1,23,2,38.35,0,10,20,0.5,0,0,0.0,4,4,1.0,7,10,17,1,0,4,5,3,24,19.2,5,https://www.basketball-reference.com/boxscores/200901310PHI.html
2009-02-03,2009,48,20.308,-1,17,14,36.883,1,10,14,0.714,0,0,0.0,2,3,0.667,3,9,12,1,0,2,3,3,22,18.5,20,https://www.basketball-reference.com/boxscores/200902030NJN.html
2009-02-04,2009,49,20.309,-1,30,27,23.867,0,6,6,1.0,0,0,0.0,0,0,0.0,3,9,12,2,1,1,2,2,12,15.3,23,https://www.basketball-reference.com/boxscores/200902040WAS.html
2009-02-07,2009,50,20.312,-1,8,44,22.483,1,6,12,0.5,0,0,0.0,3,4,0.75,1,8,9,2,0,2,1,3,15,12.3,19,https://www.basketball-reference.com/boxscores/200902070NJN.html
2009-02-08,2009,51,20.313,-1,22,-17,34.85,0,9,15,0.6,0,0,0.0,1,2,0.5,6,6,12,3,0,1,1,4,19,17.9,-11,https://www.basketball-reference.com/boxscores/200902080ORL.html
2009-02-10,2009,52,20.315,-1,27,-15,29.183,1,9,14,0.643,0,0,0.0,0,1,0.0,1,3,4,1,0,0,1,2,18,11.9,-16,https://www.basketball-reference.com/boxscores/200902100NJN.html
2009-02-17,2009,53,20.322,-1,11,-26,28.983,0,9,14,0.643,0,0,0.0,3,3,1.0,0,9,9,3,1,4,3,3,21,19.2,-8,https://www.basketball-reference.com/boxscores/200902170HOU.html
2009-02-18,2009,54,20.323,-1,7,-15,25.983,0,7,12,0.583,0,0,0.0,2,2,1.0,4,3,7,0,0,1,0,4,16,13.2,-23,https://www.basketball-reference.com/boxscores/200902180DAL.html
2009-02-20,2009,55,20.325,-1,30,-11,33.167,1,7,12,0.583,0,0,0.0,2,2,1.0,3,5,8,0,0,3,3,4,16,11.5,1,https://www.basketball-reference.com/boxscores/200902200NJN.html
2009-02-23,2009,56,20.328,-1,23,2,28.533,1,3,6,0.5,0,0,0.0,1,2,0.5,2,3,5,2,0,2,1,4,7,6.1,-3,https://www.basketball-reference.com/boxscores/200902230NJN.html
2009-02-25,2009,57,20.33,-1,5,12,30.55,1,6,13,0.462,0,1,0.0,1,1,1.0,2,5,7,2,0,1,1,5,13,8.3,3,https://www.basketball-reference.com/boxscores/200902250NJN.html
2009-03-01,2009,58,20.334,-1,-1,-3,30.767,1,4,7,0.571,0,0,0.0,0,0,0.0,4,8,12,3,1,2,1,4,8,11.8,-5,https://www.basketball-reference.com/boxscores/200903010NJN.html
2009-03-03,2009,59,20.336,-1,17,4,39.333,0,9,12,0.75,0,0,0.0,6,7,0.857,2,10,12,0,1,3,2,1,24,23.9,9,https://www.basketball-reference.com/boxscores/200903030MIL.html
2009-03-04,2009,60,20.337,-1,2,-4,35.717,1,4,5,0.8,0,0,0.0,2,3,0.667,1,4,5,4,0,0,0,4,10,10.8,1,https://www.basketball-reference.com/boxscores/200903040NJN.html
2009-03-06,2009,61,20.339,-1,22,-3,24.7,0,4,6,0.667,0,0,0.0,0,0,0.0,2,4,6,1,2,3,1,5,8,9.8,-13,https://www.basketball-reference.com/boxscores/200903060ORL.html
2009-03-08,2009,62,20.341,-1,20,5,28.6,1,7,14,0.5,0,0,0.0,2,2,1.0,1,5,6,1,1,1,5,3,16,7.4,7,https://www.basketball-reference.com/boxscores/200903080NJN.html
2009-03-11,2009,63,20.344,-1,10,-4,35.95,0,7,11,0.636,0,0,0.0,0,0,0.0,2,4,6,0,2,2,0,3,14,13.9,-2,https://www.basketball-reference.com/boxscores/200903110GSW.html
2009-03-13,2009,64,20.346,-1,25,-9,32.583,0,9,12,0.75,0,0,0.0,4,4,1.0,4,2,6,3,1,0,1,6,22,20.3,-11,https://www.basketball-reference.com/boxscores/200903130POR.html
2009-03-15,2009,65,20.348,-1,13,-2,36.3,0,6,8,0.75,0,0,0.0,2,2,1.0,0,5,5,0,0,4,1,4,14,12.5,13,https://www.basketball-reference.com/boxscores/200903150LAC.html
2009-03-16,2009,66,20.349,-1,8,-25,29.55,0,3,6,0.5,0,0,0.0,3,4,0.75,1,5,6,3,1,0,4,4,9,5.3,-22,https://www.basketball-reference.com/boxscores/200903160DEN.html
2009-03-18,2009,67,20.351,-1,20,26,35.15,0,11,20,0.55,0,0,0.0,1,2,0.5,1,4,5,8,3,3,2,2,23,22.8,17,https://www.basketball-reference.com/boxscores/200903180NYK.html
2009-03-20,2009,68,20.353,-1,16,8,32.067,1,4,13,0.308,0,0,0.0,7,8,0.875,3,4,7,0,0,2,3,3,15,7.6,12,https://www.basketball-reference.com/boxscores/200903200NJN.html
2009-03-22,2009,69,20.355,-1,6,-8,37.767,1,5,13,0.385,0,1,0.0,6,7,0.857,1,5,6,3,1,0,0,1,16,13.4,-12,https://www.basketball-reference.com/boxscores/200903220NJN.html
2009-03-25,2009,70,20.358,-1,6,-11,32.633,0,4,8,0.5,0,0,0.0,1,2,0.5,5,5,10,0,0,2,1,4,9,8.4,-13,https://www.basketball-reference.com/boxscores/200903250CLE.html
2009-03-27,2009,71,20.36,-1,14,-8,28.567,1,8,11,0.727,0,0,0.0,0,2,0.0,3,7,10,1,0,1,3,3,16,12.1,-19,https://www.basketball-reference.com/boxscores/200903270NJN.html
2009-03-29,2009,72,20.362,-1,18,-9,38.5,0,4,9,0.444,0,0,0.0,2,3,0.667,1,8,9,3,1,1,3,3,10,7.6,-6,https://www.basketball-reference.com/boxscores/200903290MIN.html
2009-03-30,2009,73,20.363,-1,17,-29,24.967,1,3,6,0.5,0,0,0.0,4,8,0.5,3,7,10,0,0,0,2,0,10,7.6,-25,https://www.basketball-reference.com/boxscores/200903300NJN.html
2009-04-01,2009,74,21.0,-1,9,13,30.8,1,7,9,0.778,0,0,0.0,5,6,0.833,1,6,7,0,0,1,0,3,19,17.1,9,https://www.basketball-reference.com/boxscores/200904010NJN.html
2009-04-04,2009,75,21.003,-1,5,-9,35.3,0,7,10,0.7,0,0,0.0,6,7,0.857,3,7,10,1,0,2,2,4,20,18.1,-5,https://www.basketball-reference.com/boxscores/200904040CHI.html
2009-04-05,2009,76,21.004,-1,23,29,24.917,1,6,9,0.667,0,0,0.0,1,2,0.5,3,5,8,0,1,2,1,2,13,12.9,24,https://www.basketball-reference.com/boxscores/200904050NJN.html
2009-04-08,2009,77,21.007,-1,2,-2,35.633,0,4,6,0.667,0,0,0.0,4,4,1.0,2,6,8,1,0,1,3,2,12,10.2,12,https://www.basketball-reference.com/boxscores/200904080BOS.html
2009-04-10,2009,78,21.009,-1,9,-7,30.8,0,6,10,0.6,0,0,0.0,4,5,0.8,2,5,7,0,0,3,0,6,16,13.6,-2,https://www.basketball-reference.com/boxscores/200904100DET.html
2009-04-11,2009,79,21.01,-1,22,10,21.4,1,6,9,0.667,0,0,0.0,1,2,0.5,3,8,11,1,0,4,1,4,13,14.1,3,https://www.basketball-reference.com/boxscores/200904110NJN.html
2009-04-13,2009,80,21.012,-1,-1,4,35.45,1,7,15,0.467,0,0,0.0,4,7,0.571,8,12,20,2,0,2,3,3,18,16.9,-2,https://www.basketball-reference.com/boxscores/200904130NJN.html
2009-04-15,2009,81,21.014,-1,20,-29,29.7,0,2,9,0.222,0,0,0.0,2,2,1.0,3,4,7,1,0,3,2,1,6,4.2,-29,https://www.basketball-reference.com/boxscores/200904150NYK.html
2009-10-28,2010,0,21.21,-1,18,-2,38.167,0,11,19,0.579,0,0,0.0,5,7,0.714,5,10,15,4,1,5,4,4,27,25.5,4,https://www.basketball-reference.com/boxscores/200910280MIN.html
2009-10-30,2010,1,21.212,-1,22,-10,25.067,1,3,8,0.375,0,0,0.0,5,6,0.833,0,5,5,1,0,1,0,5,11,7.1,-5,https://www.basketball-reference.com/boxscores/200910300NJN.html
2009-10-31,2010,2,21.213,-1,30,-19,28.0,0,6,8,0.75,0,0,0.0,1,2,0.5,1,2,3,3,1,1,2,3,13,11.3,-7,https://www.basketball-reference.com/boxscores/200910310WAS.html
2009-11-02,2010,3,21.215,-1,-1,-11,36.867,0,8,14,0.571,0,0,0.0,2,2,1.0,1,4,5,0,0,4,7,5,18,7.1,3,https://www.basketball-reference.com/boxscores/200911020CHA.html
2009-11-04,2010,4,21.217,-1,8,-28,28.967,1,5,9,0.556,0,0,0.0,2,2,1.0,2,6,8,1,0,0,3,2,12,7.8,-24,https://www.basketball-reference.com/boxscores/200911040NJN.html
2009-11-06,2010,5,21.219,-1,23,-3,43.683,0,8,18,0.444,0,0,0.0,6,9,0.667,1,10,11,2,1,3,3,4,22,15.0,3,https://www.basketball-reference.com/boxscores/200911060PHI.html
2009-11-07,2010,6,21.22,-1,2,-10,40.5,1,10,16,0.625,0,0,0.0,3,3,1.0,2,5,7,1,0,2,3,4,23,16.2,-5,https://www.basketball-reference.com/boxscores/200911070NJN.html
2009-11-11,2010,7,21.224,-1,23,-3,42.717,1,8,17,0.471,0,0,0.0,7,8,0.875,2,12,14,1,1,1,4,2,23,16.5,-2,https://www.basketball-reference.com/boxscores/200911110NJN.html
2009-11-13,2010,8,21.226,-1,22,-16,30.767,0,1,12,0.083,0,0,0.0,2,3,0.667,2,3,5,0,0,3,2,5,4,-4.0,-26,https://www.basketball-reference.com/boxscores/200911130ORL.html
2009-11-14,2010,9,21.227,-1,16,-1,41.333,0,8,18,0.444,0,0,0.0,1,2,0.5,3,6,9,1,0,3,3,2,17,10.1,-7,https://www.basketball-reference.com/boxscores/200911140MIA.html
2009-11-17,2010,10,21.23,-1,12,-8,46.217,1,10,27,0.37,0,0,0.0,6,8,0.75,8,8,16,3,1,5,2,5,26,20.9,-6,https://www.basketball-reference.com/boxscores/200911170NJN.html
2009-11-18,2010,11,21.231,-1,17,-14,29.0,0,5,10,0.5,0,0,0.0,1,1,1.0,2,2,4,1,0,3,2,2,11,8.0,-25,https://www.basketball-reference.com/boxscores/200911180MIL.html
2009-11-21,2010,12,21.234,-1,20,-7,31.3,1,5,12,0.417,0,0,0.0,8,10,0.8,4,8,12,2,0,4,1,5,18,17.2,-4,https://www.basketball-reference.com/boxscores/200911210NJN.html
2009-11-24,2010,13,21.237,-1,8,-14,27.117,0,1,4,0.25,0,0,0.0,3,3,1.0,1,2,3,1,0,2,3,5,5,1.0,3,https://www.basketball-reference.com/boxscores/200911240DEN.html
2009-11-25,2010,14,21.238,-1,25,-10,39.667,0,13,25,0.52,0,0,0.0,6,8,0.75,10,4,14,2,1,2,2,3,32,27.7,-11,https://www.basketball-reference.com/boxscores/200911250POR.html
2009-11-27,2010,15,21.24,-1,26,-13,45.467,0,9,19,0.474,0,0,0.0,6,6,1.0,5,6,11,2,2,1,2,3,24,20.5,-3,https://www.basketball-reference.com/boxscores/200911270SAC.html
2009-11-29,2010,16,21.242,-1,14,-19,35.133,0,8,15,0.533,0,0,0.0,10,12,0.833,5,7,12,2,2,0,6,3,26,19.7,-14,https://www.basketball-reference.com/boxscores/200911290LAL.html
2009-12-02,2010,17,21.245,-1,7,-16,36.683,1,2,6,0.333,0,0,0.0,12,13,0.923,1,5,6,3,0,1,1,2,16,15.4,-7,https://www.basketball-reference.com/boxscores/200912020NJN.html
2009-12-04,2010,18,21.247,-1,-1,6,39.917,1,12,22,0.545,0,0,0.0,7,7,1.0,6,8,14,2,0,2,2,4,31,26.2,3,https://www.basketball-reference.com/boxscores/200912040NJN.html
2009-12-06,2010,19,21.249,-1,20,-9,37.683,0,7,9,0.778,0,0,0.0,5,7,0.714,2,4,6,2,1,3,2,3,19,18.6,-10,https://www.basketball-reference.com/boxscores/200912060NYK.html
2009-12-08,2010,20,21.251,-1,5,2,38.483,0,9,14,0.643,0,0,0.0,7,8,0.875,5,5,10,2,2,1,2,4,25,23.9,-1,https://www.basketball-reference.com/boxscores/200912080CHI.html
2009-12-09,2010,21,21.252,-1,10,-16,36.433,1,8,15,0.533,0,0,0.0,5,5,1.0,5,5,10,2,2,1,6,5,21,14.8,-7,https://www.basketball-reference.com/boxscores/200912090NJN.html
2009-12-11,2010,22,21.254,-1,12,-16,42.133,0,8,23,0.348,0,0,0.0,9,10,0.9,8,6,14,2,2,3,3,3,25,20.4,-13,https://www.basketball-reference.com/boxscores/200912110IND.html
2009-12-13,2010,23,21.256,-1,1,-23,37.983,0,8,12,0.667,0,0,0.0,3,3,1.0,5,7,12,1,0,1,3,2,19,17.0,-19,https://www.basketball-reference.com/boxscores/200912130ATL.html
2009-12-15,2010,24,21.258,-1,6,-10,40.05,0,6,17,0.353,0,0,0.0,10,11,0.909,5,10,15,2,0,1,1,2,22,18.9,-3,https://www.basketball-reference.com/boxscores/200912150CLE.html
2009-12-16,2010,25,21.259,-1,29,-16,38.35,1,9,18,0.5,0,0,0.0,5,5,1.0,5,5,10,3,0,0,1,1,23,19.7,-26,https://www.basketball-reference.com/boxscores/200912160NJN.html
2009-12-18,2010,26,21.261,-1,28,-23,28.367,0,4,7,0.571,0,0,0.0,6,6,1.0,2,6,8,3,0,1,5,3,14,10.5,-21,https://www.basketball-reference.com/boxscores/200912180TOR.html
