date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2019-10-23,2020,0,24.025,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201910230CHO.html
2019-10-25,2020,1,24.027,4,18,-22,17.35,1,1,4,0.25,0,2,0.0,2,2,1.0,0,4,4,1,2,0,0,1,4,5.1,-3,https://www.basketball-reference.com/boxscores/201910250CHO.html
2019-10-27,2020,2,24.029,4,14,-19,1.733,0,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,3,2.3,-4,https://www.basketball-reference.com/boxscores/201910270LAL.html
2019-10-28,2020,3,24.03,4,13,-15,3.733,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,7,https://www.basketball-reference.com/boxscores/201910280LAC.html
2019-10-30,2020,4,24.032,4,26,7,4.85,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,1.0,-8,https://www.basketball-reference.com/boxscores/201910300SAC.html
2019-11-02,2020,5,24.035,4,10,6,4.467,0,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,0,0,1,0,0,1,2.3,4,https://www.basketball-reference.com/boxscores/201911020GSW.html
2019-11-05,2020,6,24.038,4,12,2,33.467,1,0,2,0.0,0,0,0.0,0,0,0.0,2,9,11,3,1,0,1,4,0,3.2,27,https://www.basketball-reference.com/boxscores/201911050CHO.html
2019-11-07,2020,7,24.04,4,2,-21,16.433,1,2,4,0.5,0,1,0.0,3,3,1.0,0,3,3,3,2,0,0,1,7,9.6,-2,https://www.basketball-reference.com/boxscores/201911070CHO.html
2019-11-09,2020,8,24.042,4,19,-5,21.133,1,4,7,0.571,0,2,0.0,1,2,0.5,0,3,3,2,2,0,1,4,9,7.0,6,https://www.basketball-reference.com/boxscores/201911090CHO.html
2019-11-10,2020,9,24.043,4,23,-8,10.7,0,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,4,5,2.1,-3,https://www.basketball-reference.com/boxscores/201911100PHI.html
2019-11-13,2020,10,24.046,4,15,-2,21.117,1,1,5,0.2,0,4,0.0,4,4,1.0,1,2,3,1,0,0,1,0,6,3.9,-15,https://www.basketball-reference.com/boxscores/201911130CHO.html
2019-11-15,2020,11,24.048,4,9,3,26.3,1,2,6,0.333,0,2,0.0,3,6,0.5,3,3,6,5,3,0,0,1,7,11.5,14,https://www.basketball-reference.com/boxscores/201911150CHO.html
2019-11-16,2020,12,24.049,4,20,1,1.767,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-7,https://www.basketball-reference.com/boxscores/201911160NYK.html
2019-11-18,2020,13,24.051,4,28,-36,10.017,0,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,2,1,0,2,2,0,-1.9,-13,https://www.basketball-reference.com/boxscores/201911180TOR.html
2019-11-20,2020,14,24.053,4,3,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201911200BRK.html
2019-11-22,2020,15,24.055,4,30,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201911220WAS.html
2019-11-23,2020,16,24.056,4,5,-1,5.033,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-2,https://www.basketball-reference.com/boxscores/201911230CHO.html
2019-11-25,2020,17,24.058,4,16,-17,6.167,0,2,2,1.0,0,0,0.0,0,1,0.0,1,0,1,0,1,0,1,1,4,3.3,11,https://www.basketball-reference.com/boxscores/201911250MIA.html
2019-11-27,2020,18,24.06,4,9,1,5.017,1,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-1.8,1,https://www.basketball-reference.com/boxscores/201911270CHO.html
2019-11-29,2020,19,24.062,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201911290DET.html
2019-11-30,2020,20,24.063,4,17,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201911300MIL.html
2019-12-02,2020,21,24.065,4,24,-5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201912020CHO.html
2019-12-04,2020,22,24.067,4,10,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201912040CHO.html
2019-12-06,2020,23,24.069,4,3,-7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201912060CHO.html
2019-12-08,2020,24,24.071,4,1,-15,3.0,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,6,https://www.basketball-reference.com/boxscores/201912080CHO.html
2019-12-10,2020,25,24.073,4,30,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201912100CHO.html
2019-12-11,2020,26,24.074,4,3,5,23.667,0,2,7,0.286,1,3,0.333,1,1,1.0,1,3,4,4,0,1,2,3,6,3.8,8,https://www.basketball-reference.com/boxscores/201912110BRK.html
2019-12-13,2020,27,24.076,4,5,10,15.95,0,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,1,0,2,0,3,1.6,-1,https://www.basketball-reference.com/boxscores/201912130CHI.html
2019-12-15,2020,28,24.078,4,12,-22,27.6,0,2,4,0.5,1,1,1.0,4,6,0.667,1,5,6,1,1,1,1,3,9,8.6,-9,https://www.basketball-reference.com/boxscores/201912150IND.html
2019-12-17,2020,29,24.08,4,26,8,25.217,1,3,4,0.75,1,1,1.0,0,1,0.0,1,5,6,3,0,0,1,3,7,7.1,2,https://www.basketball-reference.com/boxscores/201912170CHO.html
2019-12-18,2020,30,24.081,4,6,-2,28.567,0,2,6,0.333,0,2,0.0,1,1,1.0,0,2,2,4,3,0,0,1,5,7.6,19,https://www.basketball-reference.com/boxscores/201912180CLE.html
2019-12-21,2020,31,24.084,4,29,-7,21.55,1,5,7,0.714,1,1,1.0,0,0,0.0,0,4,4,1,1,1,0,4,11,10.1,-1,https://www.basketball-reference.com/boxscores/201912210CHO.html
2019-12-22,2020,32,24.085,4,2,-26,20.817,0,1,4,0.25,1,2,0.5,3,4,0.75,0,2,2,1,0,0,0,4,6,2.9,-20,https://www.basketball-reference.com/boxscores/201912220BOS.html
2019-12-27,2020,33,24.09,4,21,-2,21.683,1,3,8,0.375,0,3,0.0,4,5,0.8,1,5,6,0,2,0,1,4,10,6.8,8,https://www.basketball-reference.com/boxscores/201912270CHO.html
2019-12-29,2020,34,24.092,4,15,-13,15.15,0,0,2,0.0,0,1,0.0,1,2,0.5,1,2,3,1,1,0,1,1,1,0.8,0,https://www.basketball-reference.com/boxscores/201912290MEM.html
2019-12-31,2020,35,24.094,4,2,-17,17.967,1,3,7,0.429,1,4,0.25,0,0,0.0,3,0,3,1,0,0,2,0,7,4.1,-13,https://www.basketball-reference.com/boxscores/201912310CHO.html
2020-01-02,2020,36,24.096,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202001020CLE.html
2020-01-04,2020,37,24.098,4,7,3,0.283,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,https://www.basketball-reference.com/boxscores/202001040DAL.html
2020-01-06,2020,38,24.1,4,12,-11,16.133,1,2,4,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,4,3.3,-7,https://www.basketball-reference.com/boxscores/202001060CHO.html
2020-01-08,2020,39,24.102,4,28,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202001080CHO.html
2020-01-10,2020,40,24.104,4,29,-17,14.95,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,1,0,0,-1.0,6,https://www.basketball-reference.com/boxscores/202001100UTA.html
2020-01-12,2020,41,24.106,4,24,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202001120PHO.html
2020-01-13,2020,42,24.107,4,25,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202001130POR.html
2020-01-15,2020,43,24.109,4,8,-14,2.25,0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,6,https://www.basketball-reference.com/boxscores/202001150DEN.html
2020-01-20,2020,44,24.114,4,22,-23,13.367,1,1,4,0.25,0,1,0.0,0,0,0.0,2,0,2,0,0,1,1,2,2,-0.1,-9,https://www.basketball-reference.com/boxscores/202001200CHO.html
2020-01-24,2020,45,24.118,4,17,-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202001240CHO.html
2020-01-28,2020,46,24.122,4,20,5,18.117,1,2,6,0.333,1,2,0.5,0,0,0.0,1,3,4,3,1,0,0,2,5,5.5,9,https://www.basketball-reference.com/boxscores/202001280CHO.html
2020-01-30,2020,47,24.124,4,30,-14,23.233,0,3,6,0.5,1,1,1.0,0,0,0.0,3,3,6,4,1,0,1,2,7,9.0,-16,https://www.basketball-reference.com/boxscores/202001300WAS.html
2020-02-01,2020,48,24.126,4,27,-24,27.567,0,3,7,0.429,1,5,0.2,1,2,0.5,0,3,3,2,0,0,2,3,8,3.0,-28,https://www.basketball-reference.com/boxscores/202002010SAS.html
2020-02-03,2020,49,24.128,4,22,-12,28.233,1,6,6,1.0,1,1,1.0,0,1,0.0,4,4,8,3,3,0,0,2,13,19.1,1,https://www.basketball-reference.com/boxscores/202002030CHO.html
2020-02-04,2020,50,24.129,4,11,-15,36.233,0,5,9,0.556,2,4,0.5,0,0,0.0,1,4,5,1,0,0,3,3,12,6.1,-20,https://www.basketball-reference.com/boxscores/202002040HOU.html
2020-02-08,2020,51,24.133,4,7,-16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202002080CHO.html
2020-02-10,2020,52,24.135,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202002100DET.html
2020-02-12,2020,53,24.137,4,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202002120MIN.html
2020-02-20,2020,54,24.145,4,5,10,25.2,0,2,4,0.5,0,2,0.0,0,0,0.0,1,5,6,2,0,0,2,1,4,3.2,6,https://www.basketball-reference.com/boxscores/202002200CHI.html
2020-02-22,2020,55,24.147,4,3,-29,17.067,1,0,5,0.0,0,3,0.0,0,2,0.0,0,2,2,3,1,1,2,1,0,-2.3,-11,https://www.basketball-reference.com/boxscores/202002220CHO.html
2020-02-25,2020,56,24.15,4,12,-39,29.5,0,3,12,0.25,0,4,0.0,3,5,0.6,1,5,6,3,2,0,1,2,9,5.5,-12,https://www.basketball-reference.com/boxscores/202002250IND.html
2020-02-26,2020,57,24.151,4,20,6,24.733,1,4,8,0.5,0,1,0.0,1,2,0.5,3,6,9,2,0,0,1,0,9,8.9,7,https://www.basketball-reference.com/boxscores/202002260CHO.html
