date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2018-10-17,2019,0,19.286,6,28,-12,17.717,0,2,7,0.286,0,1,0.0,5,5,1.0,1,2,3,0,0,0,4,4,9,0.6,0,https://www.basketball-reference.com/boxscores/201810170TOR.html
2018-10-19,2019,1,19.288,6,18,-8,23.05,0,6,9,0.667,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,1,14,11.0,-15,https://www.basketball-reference.com/boxscores/201810190MIN.html
2018-10-21,2019,2,19.29,6,1,-22,27.55,1,2,11,0.182,0,1,0.0,0,0,0.0,1,1,2,2,0,0,2,4,4,-4.1,-23,https://www.basketball-reference.com/boxscores/201810210CLE.html
2018-10-24,2019,3,19.293,6,3,-16,25.017,1,6,10,0.6,0,1,0.0,2,2,1.0,0,3,3,1,0,0,2,2,14,8.2,1,https://www.basketball-reference.com/boxscores/201810240CLE.html
2018-10-25,2019,4,19.294,6,9,-7,25.033,0,5,9,0.556,0,1,0.0,4,5,0.8,0,0,0,5,2,0,1,1,14,13.4,3,https://www.basketball-reference.com/boxscores/201810250DET.html
2018-10-27,2019,5,19.296,6,12,-12,22.567,1,2,8,0.25,0,1,0.0,8,9,0.889,0,1,1,4,1,0,2,1,12,8.5,1,https://www.basketball-reference.com/boxscores/201810270CLE.html
2018-10-30,2019,6,19.299,6,1,22,27.7,1,4,10,0.4,1,2,0.5,8,9,0.889,4,4,8,3,0,1,3,3,17,13.8,-2,https://www.basketball-reference.com/boxscores/201810300CLE.html
2018-11-01,2019,7,19.301,6,8,-19,25.067,1,5,11,0.455,1,1,1.0,1,1,1.0,1,1,2,2,1,0,4,2,12,4.9,-9,https://www.basketball-reference.com/boxscores/201811010CLE.html
2018-11-03,2019,8,19.303,6,4,-32,19.3,0,1,5,0.2,0,1,0.0,2,2,1.0,0,1,1,2,1,0,1,4,4,1.0,-25,https://www.basketball-reference.com/boxscores/201811030CHO.html
2018-11-05,2019,9,19.305,6,22,-2,16.733,0,2,6,0.333,1,1,1.0,0,0,0.0,0,1,1,2,0,0,2,2,5,0.5,-7,https://www.basketball-reference.com/boxscores/201811050ORL.html
2018-11-07,2019,10,19.307,6,21,-9,41.767,1,7,14,0.5,1,2,0.5,0,0,0.0,0,2,2,1,0,1,3,4,15,5.4,-2,https://www.basketball-reference.com/boxscores/201811070CLE.html
