date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2012-10-31,2013,0,22.108,25,14,10,34.983,1,7,17,0.412,1,4,0.25,8,8,1.0,0,3,3,11,1,0,6,2,23,16.7,16,https://www.basketball-reference.com/boxscores/201210310POR.html
2012-11-02,2013,1,22.11,25,21,-14,37.55,0,9,19,0.474,2,6,0.333,1,1,1.0,1,2,3,7,1,0,2,1,21,16.1,-9,https://www.basketball-reference.com/boxscores/201211020OKC.html
2012-11-03,2013,2,22.111,25,11,10,42.3,0,8,15,0.533,3,6,0.5,1,2,0.5,1,5,6,9,0,0,3,0,20,17.8,10,https://www.basketball-reference.com/boxscores/201211030HOU.html
2012-11-05,2013,3,22.113,25,7,-23,32.783,0,2,13,0.154,1,8,0.125,8,8,1.0,1,2,3,5,1,0,1,2,13,8.7,-12,https://www.basketball-reference.com/boxscores/201211050DAL.html
2012-11-08,2013,4,22.116,25,13,-13,41.35,1,6,13,0.462,2,4,0.5,2,4,0.5,1,1,2,4,3,0,3,2,16,11.5,-9,https://www.basketball-reference.com/boxscores/201211080POR.html
2012-11-10,2013,5,22.118,25,27,-3,37.817,1,8,16,0.5,4,8,0.5,0,1,0.0,1,2,3,6,2,0,4,3,20,13.9,1,https://www.basketball-reference.com/boxscores/201211100POR.html
2012-11-12,2013,6,22.12,25,1,-8,38.6,1,5,18,0.278,2,7,0.286,0,0,0.0,1,2,3,2,2,1,4,3,12,1.6,-20,https://www.basketball-reference.com/boxscores/201211120POR.html
2012-11-13,2013,7,22.121,25,26,17,35.167,0,7,10,0.7,5,6,0.833,3,4,0.75,1,1,2,9,0,0,4,2,22,19.9,24,https://www.basketball-reference.com/boxscores/201211130SAC.html
2012-11-16,2013,8,22.124,25,11,2,42.25,1,9,18,0.5,3,9,0.333,6,6,1.0,0,5,5,5,2,0,4,2,27,20.2,10,https://www.basketball-reference.com/boxscores/201211160POR.html
2012-11-18,2013,9,22.126,25,5,8,32.25,1,7,13,0.538,1,4,0.25,1,2,0.5,0,2,2,3,3,0,2,2,16,12.2,-5,https://www.basketball-reference.com/boxscores/201211180POR.html
2012-11-21,2013,10,22.129,25,24,-27,35.217,0,7,13,0.538,2,4,0.5,8,9,0.889,0,0,0,3,1,0,6,1,24,14.0,-16,https://www.basketball-reference.com/boxscores/201211210PHO.html
2012-11-23,2013,11,22.131,25,18,8,37.117,1,11,17,0.647,4,8,0.5,2,4,0.5,0,4,4,8,0,1,0,0,28,27.2,10,https://www.basketball-reference.com/boxscores/201211230POR.html
2012-11-25,2013,12,22.133,25,3,-13,31.15,0,4,12,0.333,3,5,0.6,2,2,1.0,1,5,6,7,2,2,4,4,13,11.1,-12,https://www.basketball-reference.com/boxscores/201211250BRK.html
