date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2016-10-25,2017,0,20.036,27,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201610250GSW.html
2016-10-27,2017,1,20.038,27,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201610270SAC.html
2016-10-29,2017,2,20.04,27,19,19,8.783,1,0,2,0.0,0,1,0.0,0,2,0.0,0,2,2,1,0,0,1,1,0,-2.3,-4,https://www.basketball-reference.com/boxscores/201610290SAS.html
2016-10-30,2017,3,20.041,27,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201610300MIA.html
2016-11-01,2017,4,20.043,27,29,-15,0.75,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,https://www.basketball-reference.com/boxscores/201611010SAS.html
2016-11-04,2017,5,20.046,27,29,14,3.217,0,0,2,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,0,2,1.3,-2,https://www.basketball-reference.com/boxscores/201611040UTA.html
2016-11-05,2017,6,20.047,27,13,-24,9.033,1,2,4,0.5,2,2,1.0,0,0,0.0,0,0,0,0,0,0,1,1,6,2.6,-5,https://www.basketball-reference.com/boxscores/201611050SAS.html
2016-11-09,2017,7,20.051,27,11,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611090SAS.html
2016-11-11,2017,8,20.053,27,9,10,0.667,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2,https://www.basketball-reference.com/boxscores/201611110SAS.html
2016-11-12,2017,9,20.054,27,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611120HOU.html
2016-11-14,2017,10,20.056,27,16,4,0.433,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4,https://www.basketball-reference.com/boxscores/201611140SAS.html
2016-11-16,2017,11,20.058,27,26,5,3.183,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-1.4,-13,https://www.basketball-reference.com/boxscores/201611160SAC.html
2016-11-18,2017,12,20.06,27,14,9,0.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,https://www.basketball-reference.com/boxscores/201611180LAL.html
2016-11-21,2017,13,20.063,27,7,5,14.8,1,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,4,0,0,4,4,4,0.5,-5,https://www.basketball-reference.com/boxscores/201611210SAS.html
2016-11-23,2017,14,20.065,27,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611230CHO.html
2016-11-25,2017,15,20.067,27,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611250BOS.html
2016-11-26,2017,16,20.068,27,30,12,1.117,0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-0.8,-3,https://www.basketball-reference.com/boxscores/201611260WAS.html
2016-11-29,2017,17,20.071,27,22,-12,3.817,1,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,0,2,1.3,1,https://www.basketball-reference.com/boxscores/201611290SAS.html
2016-11-30,2017,18,20.072,27,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611300DAL.html
2016-12-02,2017,19,20.074,27,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612020SAS.html
2016-12-05,2017,20,20.077,27,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612050MIL.html
2016-12-06,2017,21,20.078,27,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612060MIN.html
2016-12-08,2017,22,20.08,27,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612080CHI.html
2016-12-10,2017,23,20.082,27,3,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612100SAS.html
2016-12-14,2017,24,20.086,27,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612140SAS.html
2016-12-15,2017,25,20.087,27,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612150PHO.html
2016-12-18,2017,26,20.09,27,19,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612180SAS.html
2016-12-20,2017,27,20.092,27,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201612200HOU.html
