date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2012-10-31,2013,0,22.241,10,24,2,1.25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,-3,https://www.basketball-reference.com/boxscores/201210310PHO.html
2012-11-02,2013,1,22.243,10,15,-10,1.65,1,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-0.7,-2,https://www.basketball-reference.com/boxscores/201211020GSW.html
2012-11-03,2013,2,22.244,10,13,4,5.4,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-3.2,0,https://www.basketball-reference.com/boxscores/201211030LAC.html
2012-11-05,2013,3,22.246,10,26,-2,3.883,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,3,https://www.basketball-reference.com/boxscores/201211050SAC.html
2012-11-07,2013,4,22.248,10,6,10,7.567,1,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,1,1,0,-1.1,4,https://www.basketball-reference.com/boxscores/201211070GSW.html
2012-11-09,2013,5,22.25,10,14,-24,13.083,0,0,2,0.0,0,1,0.0,1,2,0.5,1,1,2,0,1,0,1,3,1,-1.0,-6,https://www.basketball-reference.com/boxscores/201211090LAL.html
2012-11-10,2013,6,22.251,10,8,-6,3.683,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-12,https://www.basketball-reference.com/boxscores/201211100GSW.html
2012-11-14,2013,7,22.255,10,1,4,9.617,1,2,3,0.667,1,2,0.5,0,0,0.0,1,0,1,0,0,1,0,0,5,5.1,2,https://www.basketball-reference.com/boxscores/201211140GSW.html
2012-11-16,2013,8,22.257,10,18,8,10.667,0,0,1,0.0,0,1,0.0,3,4,0.75,2,2,4,2,0,0,0,3,3,4.1,0,https://www.basketball-reference.com/boxscores/201211160MIN.html
2012-11-18,2013,9,22.259,10,21,-10,25.0,0,4,6,0.667,1,2,0.5,0,0,0.0,0,5,5,0,1,0,2,5,9,4.9,8,https://www.basketball-reference.com/boxscores/201211180OKC.html
2012-11-19,2013,10,22.26,10,7,4,25.517,0,2,4,0.5,1,2,0.5,4,4,1.0,0,7,7,1,3,0,1,4,9,10.2,5,https://www.basketball-reference.com/boxscores/201211190DAL.html
2012-11-21,2013,11,22.262,10,3,9,14.033,1,1,2,0.5,1,2,0.5,0,0,0.0,0,4,4,0,1,0,0,1,3,3.8,1,https://www.basketball-reference.com/boxscores/201211210GSW.html
2012-11-23,2013,12,22.264,10,8,-11,21.217,0,0,3,0.0,0,1,0.0,0,0,0.0,0,6,6,1,0,0,1,5,0,-2.6,0,https://www.basketball-reference.com/boxscores/201211230DEN.html
2012-11-24,2013,13,22.265,10,18,11,16.933,1,2,6,0.333,0,0,0.0,0,0,0.0,2,4,6,1,0,0,0,3,4,2.7,4,https://www.basketball-reference.com/boxscores/201211240GSW.html
2012-11-29,2013,14,22.27,10,8,1,16.1,1,1,3,0.333,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,2,2,1.5,5,https://www.basketball-reference.com/boxscores/201211290GSW.html
