date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2021-10-21,2022,0,19.307,1,7,26,3.533,1,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,0,0,0,0,0,6,4.6,-1,https://www.basketball-reference.com/boxscores/202110210ATL.html
2021-10-23,2022,1,19.309,1,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110230CLE.html
2021-10-25,2022,2,19.311,1,9,18,3.183,1,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,-5,https://www.basketball-reference.com/boxscores/202110250ATL.html
2021-10-27,2022,3,19.313,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110270NOP.html
2021-10-28,2022,4,19.314,1,30,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110280WAS.html
2021-10-30,2022,5,19.316,1,23,-28,5.217,0,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,4,3.0,0,https://www.basketball-reference.com/boxscores/202110300PHI.html
2021-11-01,2022,6,19.318,1,30,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111010ATL.html
2021-11-03,2022,7,19.32,1,3,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111030BRK.html
2021-11-04,2022,8,19.321,1,29,-18,2.85,1,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,1,https://www.basketball-reference.com/boxscores/202111040ATL.html
2021-11-06,2022,9,19.323,1,24,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111060PHO.html
2021-11-08,2022,10,19.325,1,10,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111080GSW.html
2021-11-09,2022,11,19.326,1,29,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111090UTA.html
2021-11-12,2022,12,19.329,1,8,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111120DEN.html
2021-11-14,2022,13,19.331,1,17,20,1.933,1,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.1,1,https://www.basketball-reference.com/boxscores/202111140ATL.html
2021-11-15,2022,14,19.332,1,22,18,1.05,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,3,https://www.basketball-reference.com/boxscores/202111150ATL.html
2021-11-17,2022,15,19.334,1,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111170ATL.html
2021-11-20,2022,16,19.337,1,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111200ATL.html
2021-11-22,2022,17,19.339,1,21,12,1.45,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-5,https://www.basketball-reference.com/boxscores/202111220ATL.html
2021-11-24,2022,18,19.341,1,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111240SAS.html
2021-11-26,2022,19,19.343,1,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111260MEM.html
2021-11-27,2022,20,19.344,1,20,-9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111270ATL.html
2021-12-01,2022,21,19.348,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202112010IND.html
2021-12-03,2022,22,19.35,1,23,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202112030ATL.html
2021-12-05,2022,23,19.352,1,4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202112050ATL.html
2021-12-06,2022,24,19.353,1,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202112060MIN.html
2021-12-10,2022,25,19.357,1,3,-8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202112100ATL.html
2021-12-13,2022,26,19.36,1,11,-6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202112130ATL.html
