date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2018-10-17,2019,0,19.032,15,12,-28,25.3,0,2,6,0.333,0,1,0.0,6,6,1.0,2,3,5,1,3,1,0,2,10,12.5,-21,https://www.basketball-reference.com/boxscores/201810170IND.html
2018-10-19,2019,1,19.034,15,1,14,27.6,1,8,12,0.667,2,4,0.5,6,9,0.667,1,6,7,2,1,2,2,5,24,19.9,-8,https://www.basketball-reference.com/boxscores/201810190MEM.html
2018-10-22,2019,2,19.037,15,29,8,27.2,0,5,12,0.417,0,4,0.0,1,2,0.5,1,6,7,1,1,0,0,4,11,6.8,2,https://www.basketball-reference.com/boxscores/201810220UTA.html
2018-10-24,2019,3,19.039,15,26,-5,30.45,0,6,16,0.375,0,3,0.0,2,2,1.0,4,3,7,2,1,2,2,6,14,8.3,-5,https://www.basketball-reference.com/boxscores/201810240SAC.html
2018-10-27,2019,4,19.042,15,24,21,14.917,1,2,5,0.4,0,1,0.0,2,2,1.0,0,2,2,1,1,1,1,5,6,3.3,-1,https://www.basketball-reference.com/boxscores/201810270MEM.html
2018-10-30,2019,5,19.045,15,30,12,10.05,1,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,1,0,0,2,4,4,0.7,3,https://www.basketball-reference.com/boxscores/201810300MEM.html
2018-11-02,2019,6,19.048,15,29,10,20.417,0,6,9,0.667,1,2,0.5,0,0,0.0,1,0,1,1,1,1,3,5,13,7.2,2,https://www.basketball-reference.com/boxscores/201811020UTA.html
2018-11-04,2019,7,19.05,15,24,-2,22.517,0,1,2,0.5,0,1,0.0,2,2,1.0,2,1,3,1,0,1,0,3,4,4.9,6,https://www.basketball-reference.com/boxscores/201811040PHO.html
2018-11-05,2019,8,19.051,15,10,-16,32.333,0,6,16,0.375,0,3,0.0,3,6,0.5,2,4,6,2,0,5,2,3,15,9.3,-9,https://www.basketball-reference.com/boxscores/201811050GSW.html
2018-11-07,2019,9,19.053,15,8,2,32.8,1,7,15,0.467,2,5,0.4,4,6,0.667,3,4,7,0,3,3,3,2,20,16.1,0,https://www.basketball-reference.com/boxscores/201811070MEM.html
2018-11-10,2019,10,19.056,15,23,6,30.583,1,2,8,0.25,0,2,0.0,3,4,0.75,0,1,1,1,0,1,0,2,7,2.7,7,https://www.basketball-reference.com/boxscores/201811100MEM.html
2018-11-12,2019,11,19.058,15,29,-8,27.483,1,4,9,0.444,0,1,0.0,2,2,1.0,5,6,11,3,1,5,4,3,10,12.0,-6,https://www.basketball-reference.com/boxscores/201811120MEM.html
2018-11-14,2019,12,19.06,15,17,3,15.567,0,5,8,0.625,1,1,1.0,2,3,0.667,0,2,2,1,2,0,0,5,13,10.3,0,https://www.basketball-reference.com/boxscores/201811140MIL.html
2018-11-16,2019,13,19.062,15,26,8,31.483,1,11,16,0.688,1,1,1.0,4,6,0.667,2,4,6,0,4,2,1,5,27,24.4,5,https://www.basketball-reference.com/boxscores/201811160MEM.html
2018-11-18,2019,14,19.064,15,18,13,18.733,0,6,10,0.6,1,2,0.5,0,0,0.0,1,1,2,1,0,3,3,3,13,8.0,7,https://www.basketball-reference.com/boxscores/201811180MIN.html
2018-11-19,2019,15,19.065,15,7,10,36.3,1,6,13,0.462,0,3,0.0,1,1,1.0,0,3,3,2,2,4,2,3,13,10.2,-1,https://www.basketball-reference.com/boxscores/201811190MEM.html
2018-11-21,2019,16,19.067,15,27,1,12.417,0,3,4,0.75,2,2,1.0,1,2,0.5,0,1,1,1,0,0,1,5,9,5.0,1,https://www.basketball-reference.com/boxscores/201811210SAS.html
2018-11-23,2019,17,19.069,15,13,-5,34.967,0,8,15,0.533,1,3,0.333,3,5,0.6,1,6,7,3,0,3,3,4,20,14.0,-2,https://www.basketball-reference.com/boxscores/201811230LAC.html
2018-11-25,2019,18,19.071,15,20,-5,29.733,1,6,6,1.0,4,4,1.0,0,0,0.0,0,6,6,3,0,7,1,5,16,20.0,-1,https://www.basketball-reference.com/boxscores/201811250MEM.html
2018-11-27,2019,19,19.073,15,28,-8,18.75,1,1,4,0.25,0,0,0.0,2,2,1.0,0,2,2,0,0,1,3,5,4,-2.1,-5,https://www.basketball-reference.com/boxscores/201811270MEM.html
2018-11-30,2019,20,19.076,15,3,6,43.217,0,13,22,0.591,3,7,0.429,7,7,1.0,3,5,8,2,0,0,1,4,36,28.2,13,https://www.basketball-reference.com/boxscores/201811300BRK.html
2018-12-02,2019,21,19.078,15,23,-8,23.417,0,5,10,0.5,1,4,0.25,6,6,1.0,1,2,3,0,1,3,2,5,17,12.4,-6,https://www.basketball-reference.com/boxscores/201812020PHI.html
2018-12-05,2019,22,19.081,15,13,10,21.233,1,5,10,0.5,1,4,0.25,2,2,1.0,1,5,6,0,1,1,0,6,13,9.5,2,https://www.basketball-reference.com/boxscores/201812050MEM.html
2018-12-07,2019,23,19.083,15,19,4,14.733,0,1,4,0.25,0,1,0.0,1,2,0.5,0,0,0,0,0,1,2,4,3,-2.7,0,https://www.basketball-reference.com/boxscores/201812070NOP.html
2018-12-08,2019,24,19.084,15,14,-23,26.7,1,4,9,0.444,1,4,0.25,2,2,1.0,0,8,8,0,2,0,2,1,11,8.3,-3,https://www.basketball-reference.com/boxscores/201812080MEM.html
2018-12-10,2019,25,19.086,15,8,-6,20.067,0,3,7,0.429,0,2,0.0,0,0,0.0,0,3,3,1,2,0,1,1,6,4.5,1,https://www.basketball-reference.com/boxscores/201812100DEN.html
2018-12-12,2019,26,19.088,15,25,9,30.633,1,4,8,0.5,2,3,0.667,4,4,1.0,2,4,6,2,1,2,2,3,14,13.2,12,https://www.basketball-reference.com/boxscores/201812120MEM.html
2018-12-14,2019,27,19.09,15,16,-3,22.2,1,6,9,0.667,0,2,0.0,3,5,0.6,1,3,4,0,2,1,2,2,15,11.8,6,https://www.basketball-reference.com/boxscores/201812140MEM.html
2018-12-15,2019,28,19.091,15,11,-8,30.9,1,4,7,0.571,1,2,0.5,0,2,0.0,1,6,7,3,1,3,1,4,9,10.0,-6,https://www.basketball-reference.com/boxscores/201812150MEM.html
2018-12-17,2019,29,19.093,15,10,-17,22.45,0,1,6,0.167,0,1,0.0,1,2,0.5,0,4,4,2,0,0,0,2,3,0.6,-11,https://www.basketball-reference.com/boxscores/201812170GSW.html
2018-12-19,2019,30,19.095,15,25,-7,29.067,0,6,12,0.5,2,4,0.5,2,2,1.0,2,3,5,2,0,3,1,4,16,13.2,13,https://www.basketball-reference.com/boxscores/201812190POR.html
2018-12-21,2019,31,19.097,15,26,-3,24.267,0,5,8,0.625,1,2,0.5,1,1,1.0,1,5,6,2,1,3,2,6,12,10.7,-4,https://www.basketball-reference.com/boxscores/201812210SAC.html
2018-12-23,2019,32,19.099,15,14,8,30.617,0,11,21,0.524,1,2,0.5,4,5,0.8,4,5,9,1,0,0,3,4,27,16.7,4,https://www.basketball-reference.com/boxscores/201812230LAL.html
2018-12-26,2019,33,19.102,15,6,8,28.467,1,5,10,0.5,0,1,0.0,1,2,0.5,0,2,2,1,1,1,3,2,11,4.8,7,https://www.basketball-reference.com/boxscores/201812260MEM.html
