date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2021-10-19,2022,0,19.013,10,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110190LAL.html
2021-10-21,2022,1,19.015,10,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110210GSW.html
2021-10-24,2022,2,19.018,10,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110240SAC.html
2021-10-26,2022,3,19.02,10,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110260OKC.html
2021-10-28,2022,4,19.022,10,15,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110280GSW.html
2021-10-30,2022,5,19.024,10,21,21,6.067,1,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,0,1,0,2,2,3,-1.2,-9,https://www.basketball-reference.com/boxscores/202110300GSW.html
2021-11-03,2022,6,19.028,10,4,22,1.85,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,5,https://www.basketball-reference.com/boxscores/202111030GSW.html
2021-11-05,2022,7,19.03,10,19,41,7.233,1,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,2,1.9,7,https://www.basketball-reference.com/boxscores/202111050GSW.html
2021-11-07,2022,8,19.032,10,11,13,1.483,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,https://www.basketball-reference.com/boxscores/202111070GSW.html
2021-11-08,2022,9,19.033,10,1,14,6.85,1,0,1,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,1,2,1,-1.6,-3,https://www.basketball-reference.com/boxscores/202111080GSW.html
2021-11-10,2022,10,19.035,10,18,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111100GSW.html
2021-11-12,2022,11,19.037,10,5,26,15.683,1,4,6,0.667,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,3,8,5.2,7,https://www.basketball-reference.com/boxscores/202111120GSW.html
2021-11-14,2022,12,19.039,10,4,-4,9.833,0,4,6,0.667,0,0,0.0,1,3,0.333,3,2,5,0,2,1,0,2,9,10.2,11,https://www.basketball-reference.com/boxscores/202111140CHO.html
2021-11-16,2022,13,19.041,10,3,18,18.783,0,3,6,0.5,0,2,0.0,1,2,0.5,2,4,6,1,0,1,3,4,7,3.0,5,https://www.basketball-reference.com/boxscores/202111160BRK.html
2021-11-18,2022,14,19.043,10,6,15,6.75,0,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.8,9,https://www.basketball-reference.com/boxscores/202111180CLE.html
