date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2023-10-25,2024,0,19.351,29,26,-16,18.883,1,3,5,0.6,1,3,0.333,1,1,1.0,0,2,2,2,0,0,1,0,8,6.7,-9,https://www.basketball-reference.com/boxscores/202310250UTA.html
2023-10-27,2024,1,19.353,29,13,2,12.0,1,3,5,0.6,2,3,0.667,0,0,0.0,1,2,3,2,0,0,1,2,8,6.6,-3,https://www.basketball-reference.com/boxscores/202310270UTA.html
2023-10-28,2024,2,19.354,29,24,-22,27.033,0,4,12,0.333,2,8,0.25,2,2,1.0,2,5,7,6,1,0,2,0,12,11.3,-8,https://www.basketball-reference.com/boxscores/202310280PHO.html
2023-10-30,2024,3,19.356,29,8,-8,19.967,0,1,6,0.167,1,4,0.25,0,0,0.0,1,0,1,2,1,0,0,0,3,2.3,-12,https://www.basketball-reference.com/boxscores/202310300DEN.html
2023-11-01,2024,4,19.358,29,15,24,23.433,1,4,8,0.5,1,4,0.25,0,0,0.0,0,1,1,3,1,1,3,0,9,6.1,10,https://www.basketball-reference.com/boxscores/202311010UTA.html
2023-11-02,2024,5,19.359,29,22,-2,16.717,1,1,2,0.5,1,1,1.0,3,5,0.6,0,2,2,3,0,0,2,1,6,4.5,-5,https://www.basketball-reference.com/boxscores/202311020UTA.html
2023-11-04,2024,6,19.361,29,18,-28,27.233,0,3,6,0.5,1,4,0.25,1,2,0.5,0,0,0,4,0,0,3,2,8,3.6,-15,https://www.basketball-reference.com/boxscores/202311040MIN.html
2023-11-06,2024,7,19.363,29,5,-17,20.617,0,2,5,0.4,1,3,0.333,0,0,0.0,0,2,2,4,0,0,2,1,5,3.3,-15,https://www.basketball-reference.com/boxscores/202311060CHI.html
2023-11-08,2024,8,20.0,29,12,-16,30.867,0,3,8,0.375,1,3,0.333,0,0,0.0,0,2,2,9,0,0,1,2,7,7.7,-11,https://www.basketball-reference.com/boxscores/202311080IND.html
2023-11-10,2024,9,20.002,29,15,6,29.533,0,2,12,0.167,1,6,0.167,2,2,1.0,0,3,3,11,0,1,2,1,7,6.3,1,https://www.basketball-reference.com/boxscores/202311100MEM.html
2023-11-14,2024,10,20.006,29,25,16,26.333,1,4,9,0.444,2,7,0.286,5,5,1.0,0,4,4,7,1,0,2,2,15,14.6,8,https://www.basketball-reference.com/boxscores/202311140UTA.html
2023-11-17,2024,11,20.009,29,24,-3,28.967,1,5,11,0.455,3,6,0.5,2,3,0.667,0,3,3,6,1,0,3,2,15,11.2,2,https://www.basketball-reference.com/boxscores/202311170UTA.html
2023-11-19,2024,12,20.011,29,24,-3,34.017,1,2,12,0.167,0,5,0.0,3,4,0.75,2,3,5,11,1,0,5,2,7,4.2,-9,https://www.basketball-reference.com/boxscores/202311190UTA.html
2023-11-21,2024,13,20.013,29,14,-32,21.333,0,3,11,0.273,1,5,0.2,2,2,1.0,1,2,3,2,1,0,2,2,9,3.4,-21,https://www.basketball-reference.com/boxscores/202311210LAL.html
