date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2011-12-25,2012,0,21.32,10,13,-19,19.0,1,2,8,0.25,1,3,0.333,2,2,1.0,1,2,3,1,0,0,2,3,7,1.0,-10,https://www.basketball-reference.com/boxscores/201112250GSW.html
2011-12-26,2012,1,21.321,10,5,8,10.683,1,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,1,0,0.9,8,https://www.basketball-reference.com/boxscores/201112260GSW.html
2011-12-28,2012,2,21.323,10,20,14,7.5,1,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-0.4,1,https://www.basketball-reference.com/boxscores/201112280GSW.html
2011-12-31,2012,3,21.326,10,23,-28,26.433,1,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,3,1,0,3,4,3,0.4,-13,https://www.basketball-reference.com/boxscores/201112310GSW.html
2012-01-02,2012,4,21.328,10,24,-11,13.9,0,2,5,0.4,2,3,0.667,0,0,0.0,1,1,2,0,0,0,2,2,6,1.5,-7,https://www.basketball-reference.com/boxscores/201201020PHO.html
2012-01-04,2012,5,21.33,10,27,-6,24.683,0,4,10,0.4,2,6,0.333,0,0,0.0,0,3,3,0,0,0,0,4,10,3.9,-11,https://www.basketball-reference.com/boxscores/201201040SAS.html
2012-01-06,2012,6,21.332,10,14,-7,21.867,0,6,8,0.75,2,3,0.667,0,0,0.0,1,0,1,1,0,0,1,2,14,10.4,6,https://www.basketball-reference.com/boxscores/201201060LAL.html
2012-01-07,2012,7,21.333,10,29,-1,22.5,1,1,6,0.167,0,1,0.0,0,0,0.0,0,0,0,3,1,0,2,2,2,-1.5,11,https://www.basketball-reference.com/boxscores/201201070GSW.html
2012-01-10,2012,8,21.336,10,16,5,12.85,1,2,6,0.333,0,2,0.0,0,0,0.0,1,2,3,2,0,1,0,3,4,2.8,3,https://www.basketball-reference.com/boxscores/201201100GSW.html
2012-01-12,2012,9,21.338,10,22,-8,23.383,1,5,8,0.625,4,5,0.8,0,0,0.0,0,3,3,1,1,0,2,5,14,9.0,-16,https://www.basketball-reference.com/boxscores/201201120GSW.html
