date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2016-10-26,2017,0,19.335,8,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201610260NOP.html
2016-10-29,2017,1,19.338,8,25,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201610290DEN.html
2016-10-31,2017,2,19.34,8,28,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201610310TOR.html
2016-11-03,2017,3,19.343,8,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611030MIN.html
2016-11-05,2017,4,19.345,8,9,-17,5.183,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,7,https://www.basketball-reference.com/boxscores/201611050DET.html
2016-11-06,2017,5,19.346,8,2,16,2.433,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,-5,https://www.basketball-reference.com/boxscores/201611060BOS.html
2016-11-08,2017,6,19.348,8,15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611080MEM.html
2016-11-10,2017,7,19.35,8,10,-24,14.783,1,5,10,0.5,2,5,0.4,0,0,0.0,0,2,2,1,0,0,0,0,12,8.3,5,https://www.basketball-reference.com/boxscores/201611100DEN.html
2016-11-12,2017,8,19.352,8,9,-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611120DEN.html
2016-11-13,2017,9,19.353,8,25,-7,5.95,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2.5,8,https://www.basketball-reference.com/boxscores/201611130POR.html
2016-11-16,2017,10,19.356,8,24,16,0.767,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,https://www.basketball-reference.com/boxscores/201611160DEN.html
2016-11-18,2017,11,19.358,8,28,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201611180DEN.html
