date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2018-10-17,2019,0,20.21,4,17,-1,14.5,1,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,-1.2,6,https://www.basketball-reference.com/boxscores/201810170CHO.html
2018-10-19,2019,1,20.212,4,22,32,14.4,0,6,8,0.75,3,3,1.0,0,0,0.0,2,6,8,2,0,1,1,1,15,15.7,3,https://www.basketball-reference.com/boxscores/201810190ORL.html
2018-10-20,2019,2,20.213,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201810200MIA.html
2018-10-22,2019,3,20.215,4,28,-21,18.583,0,3,4,0.75,0,1,0.0,0,0,0.0,0,3,3,2,1,0,1,2,6,5.9,-5,https://www.basketball-reference.com/boxscores/201810220TOR.html
2018-10-24,2019,4,20.217,4,5,-2,12.917,0,2,4,0.5,0,2,0.0,1,1,1.0,0,2,2,0,0,1,0,1,5,3.9,4,https://www.basketball-reference.com/boxscores/201810240CHI.html
2018-10-26,2019,5,20.219,4,5,29,25.583,1,7,10,0.7,1,3,0.333,0,0,0.0,2,3,5,2,2,0,1,0,15,15.5,7,https://www.basketball-reference.com/boxscores/201810260CHO.html
2018-10-27,2019,6,20.22,4,23,-2,30.333,0,5,9,0.556,3,6,0.5,1,2,0.5,0,2,2,0,1,0,1,1,14,9.5,-4,https://www.basketball-reference.com/boxscores/201810270PHI.html
2018-10-30,2019,7,20.223,4,16,12,16.333,1,0,2,0.0,0,0,0.0,0,2,0.0,0,3,3,1,1,0,0,2,0,-0.4,5,https://www.basketball-reference.com/boxscores/201810300CHO.html
2018-11-01,2019,8,20.225,4,21,-4,19.35,1,2,6,0.333,0,3,0.0,0,0,0.0,0,5,5,2,1,1,1,2,4,3.4,-3,https://www.basketball-reference.com/boxscores/201811010CHO.html
2018-11-03,2019,9,20.227,4,6,32,22.867,1,5,7,0.714,2,4,0.5,0,0,0.0,1,2,3,0,1,0,1,3,12,9.2,26,https://www.basketball-reference.com/boxscores/201811030CHO.html
2018-11-06,2019,10,20.23,4,1,11,19.867,1,4,9,0.444,0,2,0.0,1,1,1.0,0,3,3,1,0,0,0,1,9,5.5,-3,https://www.basketball-reference.com/boxscores/201811060CHO.html
2018-11-09,2019,11,20.233,4,23,-1,28.417,0,2,6,0.333,1,2,0.5,0,0,0.0,2,7,9,1,0,2,0,3,5,6.0,6,https://www.basketball-reference.com/boxscores/201811090PHI.html
2018-11-11,2019,12,20.235,4,9,10,23.75,0,3,4,0.75,0,1,0.0,2,2,1.0,1,7,8,2,0,1,1,1,8,9.9,1,https://www.basketball-reference.com/boxscores/201811110DET.html
2018-11-13,2019,13,20.237,4,6,-24,15.667,0,1,4,0.25,1,3,0.333,2,2,1.0,1,1,2,0,0,0,0,1,5,3.2,-10,https://www.basketball-reference.com/boxscores/201811130CLE.html
2018-11-17,2019,14,20.241,4,23,-3,26.25,1,4,6,0.667,1,1,1.0,0,0,0.0,0,4,4,1,1,1,2,4,9,6.4,3,https://www.basketball-reference.com/boxscores/201811170CHO.html
2018-11-19,2019,15,20.243,4,2,5,22.95,1,3,6,0.5,1,3,0.333,0,0,0.0,0,5,5,0,1,1,0,0,7,7.2,0,https://www.basketball-reference.com/boxscores/201811190CHO.html
2018-11-21,2019,16,20.245,4,12,18,24.833,1,2,2,1.0,2,2,1.0,2,2,1.0,0,5,5,0,0,2,0,3,8,9.1,-5,https://www.basketball-reference.com/boxscores/201811210CHO.html
2018-11-23,2019,17,20.247,4,21,-5,19.867,0,2,6,0.333,0,0,0.0,0,0,0.0,2,5,7,0,1,0,0,1,4,4.1,5,https://www.basketball-reference.com/boxscores/201811230OKC.html
2018-11-25,2019,18,20.249,4,1,-1,19.017,0,1,6,0.167,0,3,0.0,2,2,1.0,0,1,1,2,1,2,0,1,4,3.9,-4,https://www.basketball-reference.com/boxscores/201811250ATL.html
2018-11-26,2019,19,20.25,4,17,3,11.317,1,1,5,0.2,0,3,0.0,3,4,0.75,0,1,1,0,0,2,0,1,5,2.8,-11,https://www.basketball-reference.com/boxscores/201811260CHO.html
2018-11-28,2019,20,20.252,4,1,14,20.817,1,4,8,0.5,0,3,0.0,1,2,0.5,1,2,3,2,3,0,1,1,9,8.9,10,https://www.basketball-reference.com/boxscores/201811280CHO.html
2018-11-30,2019,21,20.254,4,29,-8,15.9,1,5,9,0.556,2,4,0.5,0,0,0.0,2,2,4,2,1,0,0,1,12,11.7,7,https://www.basketball-reference.com/boxscores/201811300CHO.html
2018-12-02,2019,22,20.256,4,19,-10,29.167,1,6,13,0.462,3,6,0.5,1,2,0.5,2,6,8,1,0,2,0,1,16,13.8,-4,https://www.basketball-reference.com/boxscores/201812020CHO.html
2018-12-05,2019,23,20.259,4,18,-17,20.917,0,4,9,0.444,2,5,0.4,0,0,0.0,0,2,2,1,0,0,1,1,10,5.2,2,https://www.basketball-reference.com/boxscores/201812050MIN.html
2018-12-07,2019,24,20.261,4,8,6,16.217,1,3,7,0.429,1,3,0.333,0,0,0.0,1,1,2,2,1,2,0,0,7,8.1,-6,https://www.basketball-reference.com/boxscores/201812070CHO.html
2018-12-09,2019,25,20.263,4,20,12,22.667,0,1,5,0.2,0,1,0.0,2,2,1.0,1,3,4,1,0,1,2,1,4,1.5,3,https://www.basketball-reference.com/boxscores/201812090NYK.html
2018-12-12,2019,26,20.266,4,9,1,17.517,1,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,0,1,1,1,0,2,1.9,0,https://www.basketball-reference.com/boxscores/201812120CHO.html
2018-12-14,2019,27,20.268,4,20,-2,10.75,1,2,3,0.667,2,3,0.667,0,0,0.0,0,2,2,1,1,0,1,0,6,6.0,-7,https://www.basketball-reference.com/boxscores/201812140CHO.html
2018-12-15,2019,28,20.269,4,14,-28,28.333,1,5,13,0.385,2,6,0.333,5,6,0.833,0,3,3,0,0,2,2,5,17,7.8,-8,https://www.basketball-reference.com/boxscores/201812150CHO.html
2018-12-19,2019,29,20.273,4,6,11,13.55,1,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,1,0,0,2,1,2,0.2,-12,https://www.basketball-reference.com/boxscores/201812190CHO.html
2018-12-21,2019,30,20.275,4,9,12,23.817,1,2,3,0.667,0,1,0.0,3,4,0.75,0,4,4,1,0,0,1,0,7,6.2,5,https://www.basketball-reference.com/boxscores/201812210CHO.html
2018-12-23,2019,31,20.277,4,2,-16,26.717,0,1,6,0.167,1,2,0.5,0,0,0.0,0,7,7,3,2,1,0,2,3,5.3,-5,https://www.basketball-reference.com/boxscores/201812230BOS.html
2018-12-26,2019,32,20.28,4,3,-2,14.05,0,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,0,1,0,1,3,1.2,1,https://www.basketball-reference.com/boxscores/201812260BRK.html
