date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2020-12-23,2021,0,23.024,4,6,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202012230CLE.html
2020-12-26,2021,1,23.027,4,21,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202012260CHO.html
2020-12-27,2021,2,23.028,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202012270CHO.html
2020-12-30,2021,3,23.031,4,7,19,1.117,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,https://www.basketball-reference.com/boxscores/202012300DAL.html
2021-01-01,2021,4,23.033,4,15,-15,3.433,1,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,1.6,7,https://www.basketball-reference.com/boxscores/202101010CHO.html
2021-01-02,2021,5,23.034,4,23,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202101020PHI.html
2021-01-04,2021,6,23.036,4,23,-17,6.033,0,1,1,1.0,0,0,0.0,1,2,0.5,1,2,3,0,0,0,0,1,3,3.2,9,https://www.basketball-reference.com/boxscores/202101040PHI.html
2021-01-06,2021,7,23.038,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202101060ATL.html
2021-01-08,2021,8,23.04,4,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202101080NOP.html
2021-01-09,2021,9,23.041,4,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202101090CHO.html
