date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2020-12-23,2021,0,21.258,9,18,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202012230MIN.html
2020-12-26,2021,1,21.261,9,6,-9,6.017,1,0,2,0.0,0,2,0.0,0,2,0.0,1,1,2,0,0,0,0,1,0,-1.6,-1,https://www.basketball-reference.com/boxscores/202012260DET.html
2020-12-28,2021,2,21.263,9,1,-8,30.25,0,3,11,0.273,2,7,0.286,2,2,1.0,1,6,7,1,0,0,0,1,10,6.3,4,https://www.basketball-reference.com/boxscores/202012280ATL.html
2020-12-29,2021,3,21.264,9,10,-10,15.15,1,3,9,0.333,3,5,0.6,2,2,1.0,0,3,3,0,0,0,1,3,11,4.6,2,https://www.basketball-reference.com/boxscores/202012290DET.html
2021-01-01,2021,4,21.267,9,2,3,30.183,1,5,11,0.455,5,8,0.625,2,4,0.5,0,7,7,1,2,0,2,1,17,12.9,13,https://www.basketball-reference.com/boxscores/202101010DET.html
2021-01-03,2021,5,21.269,9,2,-2,19.683,1,2,6,0.333,2,3,0.667,0,0,0.0,0,3,3,2,1,0,0,2,6,5.1,0,https://www.basketball-reference.com/boxscores/202101030DET.html
2021-01-04,2021,6,21.27,9,17,-10,30.85,0,3,8,0.375,1,6,0.167,2,2,1.0,0,3,3,0,0,0,0,2,9,4.7,-1,https://www.basketball-reference.com/boxscores/202101040MIL.html
2021-01-06,2021,7,21.272,9,17,-15,24.133,0,6,14,0.429,6,10,0.6,2,2,1.0,0,10,10,3,1,0,1,1,20,17.3,2,https://www.basketball-reference.com/boxscores/202101060MIL.html
2021-01-08,2021,8,21.274,9,24,5,26.7,1,4,8,0.5,2,5,0.4,0,0,0.0,1,3,4,0,1,0,1,1,10,7.2,-8,https://www.basketball-reference.com/boxscores/202101080DET.html
2021-01-10,2021,9,21.276,9,29,-10,27.283,1,3,9,0.333,2,6,0.333,4,4,1.0,2,1,3,1,0,0,0,4,12,7.7,-10,https://www.basketball-reference.com/boxscores/202101100DET.html
2021-01-13,2021,10,21.279,9,17,-9,19.6,1,3,8,0.375,2,6,0.333,2,3,0.667,0,2,2,0,0,0,2,1,10,3.4,-16,https://www.basketball-reference.com/boxscores/202101130DET.html
2021-01-16,2021,11,21.282,9,16,20,11.05,0,1,3,0.333,1,3,0.333,2,2,1.0,0,1,1,0,0,0,0,2,5,2.8,-2,https://www.basketball-reference.com/boxscores/202101160MIA.html
2021-01-18,2021,12,21.284,9,16,-6,3.5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.8,-6,https://www.basketball-reference.com/boxscores/202101180MIA.html
2021-01-20,2021,13,21.286,9,1,-8,8.017,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0,-0.8,3,https://www.basketball-reference.com/boxscores/202101200ATL.html
2021-01-22,2021,14,21.288,9,11,-1,15.25,1,0,3,0.0,0,3,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,-1.1,-17,https://www.basketball-reference.com/boxscores/202101220DET.html
2021-01-23,2021,15,21.289,9,23,-4,19.3,1,4,9,0.444,2,5,0.4,0,0,0.0,1,2,3,0,1,0,0,1,10,7.2,-9,https://www.basketball-reference.com/boxscores/202101230DET.html
2021-01-25,2021,16,21.291,9,23,15,8.633,1,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,-1.9,-10,https://www.basketball-reference.com/boxscores/202101250DET.html
2021-01-27,2021,17,21.293,9,6,-15,19.5,0,2,4,0.5,1,3,0.333,2,2,1.0,0,2,2,2,0,0,2,1,7,4.6,-11,https://www.basketball-reference.com/boxscores/202101270CLE.html
2021-01-28,2021,18,21.294,9,14,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202101280DET.html
2021-01-30,2021,19,21.296,9,10,-27,15.45,0,1,4,0.25,0,3,0.0,0,0,0.0,0,4,4,1,0,0,0,1,2,1.1,-1,https://www.basketball-reference.com/boxscores/202101300GSW.html
2021-02-02,2021,20,21.299,9,29,-12,10.817,0,2,6,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,5,1.5,9,https://www.basketball-reference.com/boxscores/202102020UTA.html
2021-02-05,2021,21,21.302,9,24,-17,25.783,0,5,13,0.385,2,8,0.25,2,3,0.667,1,3,4,2,1,1,1,1,14,9.8,3,https://www.basketball-reference.com/boxscores/202102050PHO.html
2021-02-06,2021,22,21.303,9,14,-6,25.717,0,1,7,0.143,1,3,0.333,4,4,1.0,0,2,2,0,2,0,2,0,7,3.1,-14,https://www.basketball-reference.com/boxscores/202102060LAL.html
2021-02-09,2021,23,21.306,9,3,11,21.267,1,6,6,1.0,3,3,1.0,0,0,0.0,1,2,3,2,0,0,0,2,15,15.1,10,https://www.basketball-reference.com/boxscores/202102090DET.html
