date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2009-10-28,2010,0,21.228,10,11,-1,35.65,1,7,12,0.583,0,1,0.0,0,0,0.0,1,1,2,7,4,0,2,2,14,15.5,7,https://www.basketball-reference.com/boxscores/200910280GSW.html
2009-10-30,2010,1,21.23,10,24,-22,39.083,0,5,9,0.556,2,3,0.667,0,0,0.0,0,2,2,4,1,0,3,5,12,7.1,-19,https://www.basketball-reference.com/boxscores/200910300PHO.html
2009-11-04,2010,2,21.235,10,15,8,28.45,1,3,6,0.5,1,2,0.5,0,0,0.0,0,5,5,9,2,0,1,4,7,11.2,-4,https://www.basketball-reference.com/boxscores/200911040GSW.html
2009-11-06,2010,3,21.237,10,13,-28,21.533,1,1,5,0.2,0,1,0.0,3,4,0.75,0,1,1,3,0,0,0,6,5,1.5,-13,https://www.basketball-reference.com/boxscores/200911060GSW.html
2009-11-08,2010,4,21.239,10,26,-13,31.25,0,4,8,0.5,1,2,0.5,0,2,0.0,1,3,4,6,0,0,5,4,9,3.4,-5,https://www.basketball-reference.com/boxscores/200911080SAC.html
2009-11-09,2010,5,21.24,10,18,41,29.817,1,2,8,0.25,1,2,0.5,3,4,0.75,0,2,2,5,1,0,2,1,8,5.5,28,https://www.basketball-reference.com/boxscores/200911090GSW.html
2009-11-11,2010,6,21.242,10,12,-14,21.183,0,3,7,0.429,0,2,0.0,0,0,0.0,0,1,1,4,1,0,3,2,6,2.6,-13,https://www.basketball-reference.com/boxscores/200911110IND.html
2009-11-13,2010,7,21.244,10,20,14,2.583,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,0.3,3,https://www.basketball-reference.com/boxscores/200911130NYK.html
2009-11-14,2010,8,21.245,10,17,-4,25.95,0,6,9,0.667,2,2,1.0,0,0,0.0,1,3,4,2,2,1,1,5,14,12.8,2,https://www.basketball-reference.com/boxscores/200911140MIL.html
2009-11-17,2010,9,21.248,10,6,-6,41.3,0,6,10,0.6,2,6,0.333,0,1,0.0,0,5,5,7,0,0,3,2,14,11.6,-4,https://www.basketball-reference.com/boxscores/200911170CLE.html
2009-11-18,2010,10,21.249,10,2,-14,35.4,0,4,10,0.4,1,4,0.25,4,4,1.0,0,0,0,7,4,0,6,3,13,9.3,5,https://www.basketball-reference.com/boxscores/200911180BOS.html
2009-11-20,2010,11,21.251,10,25,14,45.567,1,3,9,0.333,2,3,0.667,4,5,0.8,0,6,6,8,1,1,1,6,12,12.2,18,https://www.basketball-reference.com/boxscores/200911200GSW.html
2009-11-24,2010,12,21.255,10,7,8,34.8,0,6,12,0.5,2,4,0.5,4,4,1.0,1,3,4,6,3,0,4,5,18,14.8,16,https://www.basketball-reference.com/boxscores/200911240DAL.html
2009-11-25,2010,13,21.256,10,27,-14,34.2,0,5,16,0.312,1,4,0.25,0,0,0.0,1,6,7,5,1,2,6,3,11,3.0,-7,https://www.basketball-reference.com/boxscores/200911250SAS.html
2009-11-28,2010,14,21.259,10,14,-33,36.017,1,5,15,0.333,1,5,0.2,2,2,1.0,1,3,4,8,0,0,1,0,13,10.7,-23,https://www.basketball-reference.com/boxscores/200911280GSW.html
2009-11-30,2010,15,21.261,10,12,19,19.833,1,2,5,0.4,1,2,0.5,2,2,1.0,0,2,2,4,3,0,2,2,7,7.9,-7,https://www.basketball-reference.com/boxscores/200911300GSW.html
2009-12-01,2010,16,21.262,10,8,-28,40.7,0,4,14,0.286,2,6,0.333,0,0,0.0,1,3,4,6,2,2,1,2,10,9.2,-14,https://www.basketball-reference.com/boxscores/200912010DEN.html
2009-12-03,2010,17,21.264,10,11,-2,31.85,1,4,8,0.5,1,3,0.333,2,2,1.0,1,4,5,2,2,1,4,3,11,7.8,-3,https://www.basketball-reference.com/boxscores/200912030GSW.html
2009-12-05,2010,18,21.266,10,22,-8,46.15,1,6,12,0.5,0,2,0.0,1,1,1.0,0,3,3,3,1,0,3,4,13,6.4,-8,https://www.basketball-reference.com/boxscores/200912050GSW.html
2009-12-07,2010,19,21.268,10,21,-16,36.433,0,9,14,0.643,2,4,0.5,2,2,1.0,0,4,4,2,4,0,5,5,22,15.4,-17,https://www.basketball-reference.com/boxscores/200912070OKC.html
2009-12-09,2010,20,21.27,10,-1,16,30.2,0,6,13,0.462,1,4,0.25,1,2,0.5,1,3,4,4,3,0,4,4,14,8.7,7,https://www.basketball-reference.com/boxscores/200912090NJN.html
2009-12-11,2010,21,21.272,10,5,-5,27.25,0,3,9,0.333,0,3,0.0,0,0,0.0,0,3,3,1,1,0,0,0,6,3.5,-8,https://www.basketball-reference.com/boxscores/200912110CHI.html
