date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2018-10-17,2019,0,20.028,1,20,-19,33.133,0,5,14,0.357,1,5,0.2,3,4,0.75,0,6,6,5,0,0,4,4,14,5.5,-20,https://www.basketball-reference.com/boxscores/201810170NYK.html
2018-10-19,2019,1,20.03,1,15,-14,33.083,0,7,18,0.389,4,9,0.444,2,3,0.667,1,1,2,9,1,1,3,2,20,15.0,-11,https://www.basketball-reference.com/boxscores/201810190MEM.html
2018-10-21,2019,2,20.032,1,6,22,37.667,0,13,23,0.565,6,14,0.429,3,3,1.0,0,2,2,11,1,0,1,2,35,31.6,19,https://www.basketball-reference.com/boxscores/201810210CLE.html
2018-10-24,2019,3,20.035,1,7,7,25.583,1,3,12,0.25,1,3,0.333,10,13,0.769,1,3,4,5,0,1,5,4,17,7.8,-6,https://www.basketball-reference.com/boxscores/201810240ATL.html
2018-10-27,2019,4,20.038,1,5,-12,30.433,1,3,12,0.25,0,6,0.0,7,9,0.778,1,2,3,4,2,0,5,0,13,6.1,-21,https://www.basketball-reference.com/boxscores/201810270ATL.html
2018-10-29,2019,5,20.04,1,23,-21,29.217,0,5,13,0.385,1,6,0.167,0,0,0.0,0,2,2,8,0,0,0,1,11,9.7,-14,https://www.basketball-reference.com/boxscores/201810290PHI.html
2018-10-30,2019,6,20.041,1,6,-22,31.383,0,9,13,0.692,3,4,0.75,3,5,0.6,0,1,1,4,0,0,3,2,24,17.0,-29,https://www.basketball-reference.com/boxscores/201810300CLE.html
2018-11-01,2019,7,20.043,1,26,-31,27.033,1,6,13,0.462,0,1,0.0,2,3,0.667,0,3,3,10,0,0,8,3,14,5.6,-11,https://www.basketball-reference.com/boxscores/201811010ATL.html
2018-11-03,2019,8,20.045,1,16,5,31.433,1,9,19,0.474,2,8,0.25,4,5,0.8,2,4,6,15,0,1,5,0,24,22.7,5,https://www.basketball-reference.com/boxscores/201811030ATL.html
2018-11-06,2019,9,20.048,1,4,-11,29.817,0,8,19,0.421,0,7,0.0,2,2,1.0,1,2,3,10,0,0,6,0,18,10.2,-15,https://www.basketball-reference.com/boxscores/201811060CHO.html
2018-11-07,2019,10,20.049,1,20,-5,30.633,1,6,19,0.316,1,7,0.143,2,2,1.0,1,4,5,8,0,0,2,2,15,8.8,3,https://www.basketball-reference.com/boxscores/201811070ATL.html
2018-11-09,2019,11,20.051,1,9,-15,23.217,1,4,9,0.444,0,3,0.0,8,8,1.0,1,3,4,5,0,0,6,1,16,10.0,-18,https://www.basketball-reference.com/boxscores/201811090ATL.html
2018-11-11,2019,12,20.053,1,14,-1,35.133,0,8,18,0.444,4,8,0.5,0,0,0.0,1,1,2,12,1,1,4,2,20,16.9,15,https://www.basketball-reference.com/boxscores/201811110LAL.html
2018-11-13,2019,13,20.055,1,10,-7,27.5,0,2,12,0.167,0,5,0.0,0,0,0.0,0,5,5,9,3,0,3,2,4,3.4,-11,https://www.basketball-reference.com/boxscores/201811130GSW.html
2018-11-15,2019,14,20.057,1,8,-45,26.6,0,2,11,0.182,0,4,0.0,2,2,1.0,0,2,2,5,1,0,5,1,6,-1.2,-22,https://www.basketball-reference.com/boxscores/201811150DEN.html
2018-11-17,2019,15,20.059,1,12,-8,23.717,0,3,11,0.273,0,5,0.0,3,4,0.75,0,1,1,4,1,0,3,2,9,2.4,-14,https://www.basketball-reference.com/boxscores/201811170IND.html
2018-11-19,2019,16,20.061,1,13,-8,36.967,1,8,22,0.364,1,5,0.2,8,9,0.889,0,3,3,17,0,0,6,1,25,18.8,-7,https://www.basketball-reference.com/boxscores/201811190ATL.html
2018-11-21,2019,17,20.063,1,28,-16,22.283,1,2,7,0.286,0,1,0.0,2,2,1.0,0,1,1,5,1,0,1,0,6,5.7,-16,https://www.basketball-reference.com/boxscores/201811210ATL.html
2018-11-23,2019,18,20.065,1,2,-18,19.433,1,2,7,0.286,0,5,0.0,1,1,1.0,0,0,0,2,0,1,3,0,5,0.0,-35,https://www.basketball-reference.com/boxscores/201811230ATL.html
2018-11-25,2019,19,20.067,1,4,1,29.8,1,6,18,0.333,4,10,0.4,2,2,1.0,0,2,2,5,2,1,5,0,18,9.6,3,https://www.basketball-reference.com/boxscores/201811250ATL.html
2018-11-27,2019,20,20.069,1,16,2,31.333,0,5,12,0.417,2,5,0.4,5,6,0.833,0,5,5,10,1,1,3,0,17,17.4,1,https://www.basketball-reference.com/boxscores/201811270MIA.html
2018-11-28,2019,21,20.07,1,4,-14,28.45,0,7,19,0.368,3,9,0.333,1,1,1.0,1,2,3,4,2,1,5,1,18,8.9,-6,https://www.basketball-reference.com/boxscores/201811280CHO.html
2018-11-30,2019,22,20.072,1,21,-15,28.483,0,4,15,0.267,0,3,0.0,1,3,0.333,1,3,4,8,0,0,2,1,9,4.1,-17,https://www.basketball-reference.com/boxscores/201811300OKC.html
