date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2021-10-20,2022,0,20.259,21,29,-21,14.9,0,4,7,0.571,1,2,0.5,0,0,0.0,0,0,0,1,1,1,1,0,9,7.1,-4,https://www.basketball-reference.com/boxscores/202110200UTA.html
2021-10-22,2022,1,20.261,21,11,-33,13.033,0,3,5,0.6,2,3,0.667,0,2,0.0,0,0,0,0,0,0,0,2,8,4.1,-11,https://www.basketball-reference.com/boxscores/202110220HOU.html
2021-10-24,2022,2,20.263,21,23,-12,9.867,1,1,5,0.2,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-0.8,-4,https://www.basketball-reference.com/boxscores/202110240OKC.html
2021-10-26,2022,3,20.265,21,10,-8,9.433,1,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,0,0,1,0,1,2,0.8,3,https://www.basketball-reference.com/boxscores/202110260OKC.html
2021-10-27,2022,4,20.266,21,14,8,5.317,1,1,2,0.5,0,1,0.0,1,2,0.5,1,0,1,0,0,0,0,1,3,1.9,-9,https://www.basketball-reference.com/boxscores/202110270OKC.html
2021-10-30,2022,5,20.269,21,10,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202110300GSW.html
2021-11-01,2022,6,20.271,21,13,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111010LAC.html
2021-11-04,2022,7,20.274,21,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111040LAL.html
2021-11-07,2022,8,20.277,21,27,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111070OKC.html
2021-11-10,2022,9,20.28,21,19,8,14.033,0,3,7,0.429,0,1,0.0,0,0,0.0,1,3,4,0,0,1,1,3,6,2.4,-1,https://www.basketball-reference.com/boxscores/202111100NOP.html
2021-11-12,2022,10,20.282,21,26,2,18.967,1,5,8,0.625,1,1,1.0,1,2,0.5,1,1,2,1,1,0,2,4,12,7.1,4,https://www.basketball-reference.com/boxscores/202111120OKC.html
2021-11-14,2022,11,20.284,21,3,-24,5.433,1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0,3,1.7,0,https://www.basketball-reference.com/boxscores/202111140OKC.html
2021-11-15,2022,12,20.285,21,16,-13,6.867,1,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,3,0,-2.3,1,https://www.basketball-reference.com/boxscores/202111150OKC.html
2021-11-17,2022,13,20.287,21,11,12,10.867,1,2,4,0.5,1,3,0.333,2,2,1.0,0,1,1,0,2,0,0,0,7,7.3,4,https://www.basketball-reference.com/boxscores/202111170OKC.html
2021-11-19,2022,14,20.289,21,17,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111190MIL.html
2021-11-20,2022,15,20.29,21,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111200BOS.html
2021-11-22,2022,16,20.292,21,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111220ATL.html
2021-11-24,2022,17,20.294,21,29,-6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202111240OKC.html
2021-11-26,2022,18,20.296,21,30,-2,17.0,1,3,11,0.273,1,4,0.25,0,0,0.0,1,0,1,0,1,0,0,1,7,1.8,-6,https://www.basketball-reference.com/boxscores/202111260OKC.html
2021-11-29,2022,19,20.299,21,11,-13,30.05,0,5,12,0.417,1,5,0.2,6,6,1.0,0,7,7,1,2,1,2,2,17,13.3,1,https://www.basketball-reference.com/boxscores/202111290HOU.html
2021-12-01,2022,20,20.301,21,11,-4,32.067,1,4,13,0.308,2,7,0.286,1,1,1.0,1,1,2,0,0,0,3,1,11,1.1,-7,https://www.basketball-reference.com/boxscores/202112010OKC.html
2021-12-02,2022,21,20.302,21,15,-73,26.533,0,5,11,0.455,2,4,0.5,0,1,0.0,0,0,0,1,0,1,2,0,12,5.3,-47,https://www.basketball-reference.com/boxscores/202112020MEM.html
2021-12-06,2022,22,20.306,21,9,11,13.45,0,2,4,0.5,1,1,1.0,2,2,1.0,0,3,3,0,0,0,0,1,7,5.5,7,https://www.basketball-reference.com/boxscores/202112060DET.html
2021-12-08,2022,23,20.308,21,28,1,17.833,0,1,6,0.167,1,3,0.333,0,0,0.0,0,0,0,1,2,0,1,1,3,0.5,10,https://www.basketball-reference.com/boxscores/202112080TOR.html
2021-12-10,2022,24,20.31,21,14,-21,27.75,1,8,15,0.533,3,8,0.375,0,0,0.0,0,3,3,0,1,0,0,3,19,12.4,-7,https://www.basketball-reference.com/boxscores/202112100OKC.html
2021-12-12,2022,25,20.312,21,7,-19,14.3,1,1,3,0.333,1,1,1.0,1,2,0.5,0,3,3,0,0,0,0,2,4,2.0,-1,https://www.basketball-reference.com/boxscores/202112120OKC.html
