date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2022-10-19,2023,0,22.05,15,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202210190MEM.html
2022-10-21,2023,1,22.052,15,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202210210HOU.html
2022-10-22,2023,2,22.053,15,7,-41,6.267,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-3,https://www.basketball-reference.com/boxscores/202210220DAL.html
2022-10-24,2023,3,22.055,15,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202210240MEM.html
2022-10-27,2023,4,22.058,15,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202210270SAC.html
2022-10-29,2023,5,22.06,15,29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202210290UTA.html
2022-10-31,2023,6,22.062,15,29,-16,4.667,0,1,3,0.333,0,2,0.0,0,0,0.0,1,2,3,1,1,0,0,0,2,3.3,4,https://www.basketball-reference.com/boxscores/202210310UTA.html
2022-11-02,2023,7,22.064,15,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211020POR.html
2022-11-04,2023,8,22.066,15,4,31,7.383,1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,1,1,0,2,0,0.9,-9,https://www.basketball-reference.com/boxscores/202211040MEM.html
2022-11-06,2023,9,22.068,15,30,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211060MEM.html
2022-11-07,2023,10,22.069,15,2,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211070MEM.html
2022-11-09,2023,11,22.071,15,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211090SAS.html
2022-11-11,2023,12,22.073,15,18,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211110MEM.html
2022-11-13,2023,13,22.075,15,30,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211130WAS.html
2022-11-15,2023,14,22.077,15,19,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/202211150NOP.html
